HYPERPARAMETERS: 

mom: 0.8 
folder: 0 
lr: 0.001 
exp_replay: 20000 
batch_size: 256 
gamma: 0.9 
episodes: 1000 
neurons: 64 
eps_decay: 100000 

TRAINING: 

optimal load angle: 81.0 
episode: 0, loss: 0.00017886001333682137, reward: -0.010000000000001426, eps: 0.838589849238333 
episode: 1, loss: 3.0386109379524155e-06, reward: -0.010000000000001426, eps: 0.781609096015679 
episode: 2, loss: 0.007906193108311909, reward: 0.19652434756524445, eps: 0.7287455733672671 
episode: 3, loss: 0.04770738220814705, reward: -0.010000000000001426, eps: 0.6797017845658209 
episode: 4, loss: 0.0472487404736897, reward: -0.010000000000001426, eps: 0.634201728960406 
episode: 5, loss: 0.04046661421403687, reward: 0.1289621037896236, eps: 0.5919893487448954 
episode: 6, loss: 0.06964242825853209, reward: 0.3820427957204265, eps: 0.5528270879575311 
episode: 7, loss: 0.2419379168434864, reward: 0.06252390402309425, eps: 0.5377613988414967 
episode: 8, loss: 0.24549228619419447, reward: 0.07028697130287434, eps: 0.5025174606577019 
episode: 9, loss: 0.2669953275261468, reward: 0.23015398460154207, eps: 0.46982012657512007 
episode: 10, loss: 0.29637556617256716, reward: 0.3580872129765838, eps: 0.44146509308822396 
episode: 11, loss: 0.33263842907267954, reward: 0.030733590733592484, eps: 0.4330962830966905 
episode: 12, loss: 0.35111482453196063, reward: 0.3243775622437287, eps: 0.40541508127963394 
episode: 13, loss: 0.3557415872278863, reward: 0.2388391160883348, eps: 0.3797340266001136 
episode: 14, loss: 0.38199863687370694, reward: -0.009798020197981485, eps: 0.3559085953991412 
episode: 15, loss: 0.3887701734860937, reward: 0.20662293632075626, eps: 0.3430831477525506 
episode: 16, loss: 0.4027524649953152, reward: 0.015012861736334007, eps: 0.34130369531511534 
episode: 17, loss: 0.402641253984046, reward: 0.017432901799810163, eps: 0.33937005886100396 
episode: 18, loss: 0.4029458460295432, reward: 0.015560012341869392, eps: 0.3372366238704637 
episode: 19, loss: 0.38272032629347824, reward: 0.08777531083481505, eps: 0.3315405113009065 
episode: 20, loss: 0.2950328951255463, reward: 0.13481951804819753, eps: 0.31119737549702636 
episode: 21, loss: 0.27262722609368173, reward: 0.013371375694015742, eps: 0.3092690561909766 
episode: 22, loss: 0.266592155082296, reward: 0.01278822055137814, eps: 0.30748368258252495 
episode: 23, loss: 0.2673253343473895, reward: 0.02176325524044295, eps: 0.30557766843194156 
episode: 24, loss: 0.27484694158286316, reward: 0.024359925788496283, eps: 0.3037111333307138 
episode: 25, loss: 0.27870941257042825, reward: 0.01930602957906606, eps: 0.3011489902002887 
episode: 26, loss: 0.27781629559322063, reward: 0.019779543706740704, eps: 0.2976574024806023 
episode: 27, loss: 0.2662783371337051, reward: 0.015628659046556737, eps: 0.2949823946727869 
episode: 28, loss: 0.233553260339779, reward: 0.01837511325883372, eps: 0.2930060522683157 
episode: 29, loss: 0.22596112387925815, reward: 0.013582132564841145, eps: 0.2906626955212515 
episode: 30, loss: 0.20952513065631367, reward: 0.012781233799895991, eps: 0.28741896125629 
episode: 31, loss: 0.19882804024972658, reward: 0.010397307859314016, eps: 0.282473525443672 
episode: 32, loss: 0.18632695605649668, reward: 0.009611764705881968, eps: 0.280392954628391 
episode: 33, loss: 0.18172625448507038, reward: 0.011367292225200705, eps: 0.2784292077642361 
episode: 34, loss: 0.18087402489794865, reward: 0.011333333333332956, eps: 0.27657734133471945 
episode: 35, loss: 0.18755423165802765, reward: 0.009101920236336363, eps: 0.2745832246191404 
episode: 36, loss: 0.18915520182474166, reward: 0.023662933624691504, eps: 0.2719931109167753 
episode: 37, loss: 0.1872285940932312, reward: 0.015687597301503983, eps: 0.26900977192527004 
episode: 38, loss: 0.2024900996006199, reward: 0.2636826317367806, eps: 0.2531848893459713 
episode: 39, loss: 0.2689013101700505, reward: 0.14841156590311877, eps: 0.24233455881683846 
episode: 40, loss: 0.3252015228547124, reward: 0.026309012875535213, eps: 0.23998903300806151 
episode: 41, loss: 0.32187854332217913, reward: 0.03253731343283459, eps: 0.2376270750559289 
episode: 42, loss: 0.3202804474912181, reward: 0.042308427288363946, eps: 0.232570490814352 
episode: 43, loss: 0.3062463467253647, reward: 0.016910860655736472, eps: 0.23002691175853224 
episode: 44, loss: 0.3185753120390426, reward: 0.13578771343073617, eps: 0.2243921239267047 
episode: 45, loss: 0.31125316797669095, reward: 0.0219568868980951, eps: 0.2225343504144272 
