HYPERPARAMETERS: 

mom: 0.8 
episodes: 1000 
eps_decay: 100000 
folder: 11 
neurons: 128 
batch_size: 256 
gamma: 0.9 
lr: 0.01 
exp_replay: 20000 

TRAINING: 

optimal load angle: 81.0 
episode: 0, loss: 2.8296399680839445e-05, reward: -0.010000000000001426, eps: 0.838589849238333 
episode: 1, loss: 3.317846177638877e-07, reward: -0.010098990100991377, eps: 0.781609096015679 
episode: 2, loss: 2.454222317435877e-07, reward: -0.010000000000001426, eps: 0.7287455733672671 
episode: 3, loss: 2.811664898618511e-07, reward: -0.010098990100991377, eps: 0.6797017845658209 
episode: 4, loss: 2.033971575804852e-07, reward: -0.010000000000001426, eps: 0.634201728960406 
episode: 5, loss: 1.6261623154889974e-07, reward: -0.010000000000001426, eps: 0.5919893487448954 
episode: 6, loss: 1.1333402304263399e-07, reward: -0.010000000000001426, eps: 0.5528270879575311 
episode: 7, loss: 9.159957937027132e-08, reward: -0.010000000000001426, eps: 0.5164945556021538 
episode: 8, loss: 7.88332460163991e-08, reward: -0.010000000000001426, eps: 0.48278728536763116 
episode: 9, loss: 7.785268454243222e-08, reward: -0.010000000000001426, eps: 0.45151558496563643 
episode: 10, loss: 7.058961398202555e-08, reward: -0.010000000000001426, eps: 0.4225034686112678 
episode: 11, loss: 5.7583415783527205e-08, reward: -0.010000000000001426, eps: 0.3955876666388963 
episode: 12, loss: 0.00014152687275868038, reward: 0.017570242975701224, eps: 0.37061670667971935 
episode: 13, loss: 0.008423068753231459, reward: 0.034896361123906525, eps: 0.351393388348718 
episode: 14, loss: 0.025039471646428765, reward: 0.010483020112100238, eps: 0.34083798207255733 
episode: 15, loss: 0.039740264526557274, reward: -0.010000000000001426, eps: 0.31982304344475554 
episode: 16, loss: 0.04341429444321402, reward: -0.010000000000001426, eps: 0.3003265710172181 
episode: 17, loss: 0.014939600841192516, reward: 0.0010854007633583971, eps: 0.2860246737819966 
episode: 18, loss: 0.007958889495122367, reward: 0.01025846702317293, eps: 0.2813811497031482 
episode: 19, loss: 0.014080061905874346, reward: 0.009658164606888958, eps: 0.27838809420716965 
episode: 20, loss: 0.018976399591006055, reward: 0.01740618661257495, eps: 0.2751161180908176 
episode: 21, loss: 0.026214460109183962, reward: 0.024027538726332762, eps: 0.271618259398077 
episode: 22, loss: 0.033325915737804225, reward: 0.008169796350171545, eps: 0.26879962343163816 
episode: 23, loss: 0.03834228674716348, reward: 0.009923744412305736, eps: 0.26596931760823683 
episode: 24, loss: 0.043465745745713186, reward: 0.014102103642893509, eps: 0.26297320282985637 
episode: 25, loss: 0.05351207019743797, reward: 0.0466404328578462, eps: 0.25966611764516134 
episode: 26, loss: 0.07544088462331258, reward: 0.022980460054413867, eps: 0.2564578653069066 
episode: 27, loss: 0.08524250676186163, reward: 0.008457978075517503, eps: 0.25317269861833597 
episode: 28, loss: 0.0910448349888792, reward: 0.036540711847879784, eps: 0.24994580393162646 
episode: 29, loss: 0.10105648649651382, reward: 0.010443266682726918, eps: 0.2466737667078584 
episode: 30, loss: 0.10289344703913653, reward: 0.04140385961404067, eps: 0.23246280599491703 
episode: 31, loss: 0.10751152713656684, reward: 0.012156351791531008, eps: 0.22866389326011738 
episode: 32, loss: 0.10236286907045045, reward: 0.019930189264661065, eps: 0.22175281988024076 
episode: 33, loss: 0.08617770496140109, reward: 0.05029097090291298, eps: 0.2093425599024546 
episode: 34, loss: 0.10079514044691307, reward: 0.0637226277372298, eps: 0.1978290220444195 
episode: 35, loss: 0.18415873968628643, reward: 0.025245475452455278, eps: 0.18714741229203025 
episode: 36, loss: 0.14879561300846608, reward: -0.010000000000001426, eps: 0.17723761842074753 
episode: 37, loss: 0.0886163886646227, reward: -0.010000000000001426, eps: 0.16804387170580642 
episode: 38, loss: 0.029369022723899674, reward: -0.010000000000001426, eps: 0.15951443307606533 
episode: 39, loss: 2.5738076367156983e-05, reward: -0.010000000000001426, eps: 0.15160130194528382 
episode: 40, loss: 7.534961003615234e-06, reward: -0.010098990100991377, eps: 0.14425994608223758 
episode: 41, loss: 2.032622206280559e-06, reward: -0.010000000000001426, eps: 0.13744905099947652 
episode: 42, loss: 7.877287849846198e-07, reward: -0.010000000000001426, eps: 0.13113028745037775 
episode: 43, loss: 2.4361424701790717e-07, reward: -0.010000000000001426, eps: 0.12526809572605113 
episode: 44, loss: 9.541100702642045e-08, reward: -0.010000000000001426, eps: 0.1198294855381979 
episode: 45, loss: 6.863621234537781e-08, reward: -0.010000000000001426, eps: 0.11478385036173698 
episode: 46, loss: 5.558696217992853e-08, reward: -0.010000000000001426, eps: 0.11010279519238517 
episode: 47, loss: 4.5145566180625964e-08, reward: -0.010000000000001426, eps: 0.10575997674987439 
episode: 48, loss: 3.655332948431134e-08, reward: -0.010000000000001426, eps: 0.10173095522752754 
episode: 49, loss: 3.249014923856199e-08, reward: -0.010000000000001426, eps: 0.09799305675389267 
episode: 50, loss: 2.8412840264095387e-08, reward: -0.010000000000001426, eps: 0.09452524579242047 
episode: 51, loss: 2.9679075632361527e-08, reward: -0.010000000000001426, eps: 0.0913080067610959 
episode: 52, loss: 2.9074345953858854e-08, reward: -0.010000000000001426, eps: 0.08832323420582255 
episode: 53, loss: 2.8600894811887272e-08, reward: -0.010000000000001426, eps: 0.08555413090949547 
episode: 54, loss: 2.6334331459813022e-08, reward: -0.010000000000001426, eps: 0.0829851133633571 
episode: 55, loss: 2.4754130733085734e-08, reward: -0.010000000000001426, eps: 0.08060172406866344 
episode: 56, loss: 2.2511695395288772e-08, reward: -0.010000000000001426, eps: 0.07839055017512621 
episode: 57, loss: 2.598714251985948e-08, reward: -0.010000000000001426, eps: 0.07633914799825729 
episode: 58, loss: 2.8697370218426283e-08, reward: -0.010000000000001426, eps: 0.07443597299082695 
episode: 59, loss: 2.724331438813617e-08, reward: -0.010000000000001426, eps: 0.07267031477434015 
episode: 60, loss: 2.068748678239442e-08, reward: -0.010000000000001426, eps: 0.07103223686491203 
episode: 61, loss: 1.7345053027853985e-08, reward: -0.010000000000001426, eps: 0.0695125207543414 
episode: 62, loss: 1.6705924323710892e-08, reward: -0.010000000000001426, eps: 0.06810261403169093 
episode: 63, loss: 1.6449091126110235e-08, reward: -0.010000000000001426, eps: 0.06679458225342114 
episode: 64, loss: 1.709714797601394e-08, reward: -0.010000000000001426, eps: 0.06558106429122057 
episode: 65, loss: 1.6336612066680443e-08, reward: -0.010000000000001426, eps: 0.06445523090624629 
episode: 66, loss: 1.686265425064005e-08, reward: -0.010000000000001426, eps: 0.06341074631664517 
episode: 67, loss: 1.6683010862694644e-08, reward: -0.010000000000001426, eps: 0.062441732542072206 
episode: 68, loss: 1.7155088098733253e-08, reward: -0.010000000000001426, eps: 0.06154273632454947 
episode: 69, loss: 1.5567934398462582e-08, reward: -0.010000000000001426, eps: 0.060708698439508754 
episode: 70, loss: 1.568593423798361e-08, reward: -0.010000000000001426, eps: 0.059934925224310986 
episode: 71, loss: 1.63164537945353e-08, reward: -0.010000000000001426, eps: 0.05921706216401575 
episode: 72, loss: 1.628230678048516e-08, reward: -0.010000000000001426, eps: 0.05855106938575098 
episode: 73, loss: 1.5966819136521126e-08, reward: -0.010000000000001426, eps: 0.057933198923773965 
episode: 74, loss: 1.6124710433376173e-08, reward: -0.010000000000001426, eps: 0.05735997362727998 
episode: 75, loss: 1.756875401279722e-08, reward: -0.010000000000001426, eps: 0.056828167592258935 
episode: 76, loss: 1.6983758998441252e-08, reward: -0.010000000000001426, eps: 0.056334788007277946 
episode: 77, loss: 1.49521287431079e-08, reward: -0.010000000000001426, eps: 0.05587705831102435 
episode: 78, loss: 1.6051581869055995e-08, reward: -0.010000000000001426, eps: 0.055452402566825924 
episode: 79, loss: 1.5759878760543668e-08, reward: -0.010000000000001426, eps: 0.05505843096621384 
episode: 80, loss: 1.6243058873668597e-08, reward: -0.010000000000001426, eps: 0.054692926379947535 
episode: 81, loss: 1.4907177481849832e-08, reward: -0.010000000000001426, eps: 0.05435383188081576 
episode: 82, loss: 1.498111172179755e-08, reward: -0.010000000000001426, eps: 0.05403923916799642 
episode: 83, loss: 1.3658892498776437e-08, reward: -0.010000000000001426, eps: 0.05374737782783184 
episode: 84, loss: 1.2647923890433788e-08, reward: -0.010000000000001426, eps: 0.053476605370583026 
episode: 85, loss: 1.2369284652230514e-08, reward: -0.010000000000001426, eps: 0.05322539798709327 
episode: 86, loss: 1.2318851607895121e-08, reward: -0.010000000000001426, eps: 0.05299234197334301 
episode: 87, loss: 1.2005771530816556e-08, reward: -0.010000000000001426, eps: 0.0527761257746365 
episode: 88, loss: 1.192276730816108e-08, reward: -0.010000000000001426, eps: 0.052575532604647826 
episode: 89, loss: 1.216621254726448e-08, reward: -0.010000000000001426, eps: 0.05238943359778883 
episode: 90, loss: 1.2491892640297486e-08, reward: -0.010000000000001426, eps: 0.05221678145636319 
episode: 91, loss: 1.3514521372872258e-08, reward: -0.010000000000001426, eps: 0.05205660455675487 
episode: 92, loss: 1.2742293049123269e-08, reward: -0.010000000000001426, eps: 0.05190800148148295 
episode: 93, loss: 1.2702408023756051e-08, reward: -0.010000000000001426, eps: 0.05177013594635104 
episode: 94, loss: 1.3680248925652362e-08, reward: -0.010000000000001426, eps: 0.0516422320941432 
episode: 95, loss: 1.51078777533482e-08, reward: -0.010000000000001426, eps: 0.051523570128381053 
episode: 96, loss: 1.343410525794933e-08, reward: -0.010000000000001426, eps: 0.05141348226257028 
episode: 97, loss: 1.1979937509762786e-08, reward: -0.010000000000001426, eps: 0.05131134896214053 
episode: 98, loss: 1.380673441144896e-08, reward: -0.010000000000001426, eps: 0.05121659545792958 
episode: 99, loss: 1.4453087686942617e-08, reward: -0.010000000000001426, eps: 0.051128688511591074 
episode: 100, loss: 1.495306241165328e-08, reward: -0.010000000000001426, eps: 0.05104713341472249 
episode: 101, loss: 1.4332004291901768e-08, reward: -0.010000000000001426, eps: 0.050971471204825765 
episode: 102, loss: 1.4640620418012528e-08, reward: -0.010000000000001426, eps: 0.050901276082432854 
episode: 103, loss: 1.365267256958409e-08, reward: -0.010000000000001426, eps: 0.050836153014860795 
episode: 104, loss: 1.2849482348788623e-08, reward: -0.010000000000001426, eps: 0.050775735513111084 
episode: 105, loss: 1.1927159942757864e-08, reward: -0.010000000000001426, eps: 0.05071968356940255 
episode: 106, loss: 1.3359077368771732e-08, reward: -0.010000000000001426, eps: 0.050667681743730895 
episode: 107, loss: 1.4003572147040992e-08, reward: -0.010000000000001426, eps: 0.05061943738868683 
episode: 108, loss: 1.3541229497102296e-08, reward: -0.010000000000001426, eps: 0.050574679002542575 
episode: 109, loss: 1.2054112465422594e-08, reward: -0.010000000000001426, eps: 0.050533154701338664 
episode: 110, loss: 1.1650920453476203e-08, reward: -0.010000000000001426, eps: 0.05049463080137239 
episode: 111, loss: 1.125405290457532e-08, reward: -0.010000000000001426, eps: 0.050458890504110704 
episode: 112, loss: 9.920995889403302e-09, reward: -0.010000000000001426, eps: 0.05042573267612673 
episode: 113, loss: 1.01086830055271e-08, reward: -0.010000000000001426, eps: 0.0503949707171938 
episode: 114, loss: 1.1692592940066685e-08, reward: -0.010000000000001426, eps: 0.050366431510167065 
episode: 115, loss: 1.2276051182313224e-08, reward: -0.010000000000001426, eps: 0.05033995444674303 
episode: 116, loss: 1.1020429702754902e-08, reward: -0.010000000000001426, eps: 0.05031539052361427 
episode: 117, loss: 1.1525896972546008e-08, reward: -0.010000000000001426, eps: 0.050292601503932895 
episode: 118, loss: 1.228747064815944e-08, reward: -0.010000000000001426, eps: 0.050271459139363685 
episode: 119, loss: 1.228775971095929e-08, reward: -0.010000000000001426, eps: 0.05025184444834901 
episode: 120, loss: 1.2366561252216195e-08, reward: -0.010000000000001426, eps: 0.050233647046523805 
episode: 121, loss: 1.3372505916583168e-08, reward: -0.010000000000001426, eps: 0.05021676452551236 
episode: 122, loss: 1.3062722137823173e-08, reward: -0.010000000000001426, eps: 0.05020110187661119 
episode: 123, loss: 1.0933974903164511e-08, reward: -0.010000000000001426, eps: 0.050186570956114486 
episode: 124, loss: 1.0784402690024204e-08, reward: -0.010000000000001426, eps: 0.0501730899892733 
episode: 125, loss: 1.2422539327772429e-08, reward: -0.010000000000001426, eps: 0.05016058311009699 
episode: 126, loss: 1.3343717446947027e-08, reward: -0.010000000000001426, eps: 0.05014897993440686 
episode: 127, loss: 1.3108886754642425e-08, reward: -0.010000000000001426, eps: 0.05013821516373962 
episode: 128, loss: 1.1393993937550664e-08, reward: -0.010000000000001426, eps: 0.05012822821787127 
episode: 129, loss: 1.0585962148308725e-08, reward: -0.010000000000001426, eps: 0.05011896289389359 
episode: 130, loss: 1.0304780396937923e-08, reward: -0.010000000000001426, eps: 0.05011036704992457 
episode: 131, loss: 1.09007562233051e-08, reward: -0.010000000000001426, eps: 0.050102392311672815 
episode: 132, loss: 1.070972571755589e-08, reward: -0.010000000000001426, eps: 0.05009499380020458 
episode: 133, loss: 1.1253681252172546e-08, reward: -0.010000000000001426, eps: 0.050088129879381396 
episode: 134, loss: 1.168281795605811e-08, reward: -0.010000000000001426, eps: 0.05008176192154701 
episode: 135, loss: 1.3188850412109124e-08, reward: -0.010000000000001426, eps: 0.05007585409014494 
episode: 136, loss: 1.4267394661720399e-08, reward: -0.010000000000001426, eps: 0.05007037313804335 
episode: 137, loss: 1.2754237132370855e-08, reward: -0.010000000000001426, eps: 0.05006528822043222 
episode: 138, loss: 1.1171818705056743e-08, reward: -0.010000000000001426, eps: 0.050060570721239976 
episode: 139, loss: 1.0509336690738184e-08, reward: -0.010000000000001426, eps: 0.05005619409209261 
episode: 140, loss: 1.1334289043342946e-08, reward: -0.010000000000001426, eps: 0.05005213370290906 
episode: 141, loss: 1.296402506753084e-08, reward: -0.010000000000001426, eps: 0.050048366703292074 
episode: 142, loss: 1.3452345611260472e-08, reward: -0.010000000000001426, eps: 0.05004487189393441 
episode: 143, loss: 1.4104582998425742e-08, reward: -0.010000000000001426, eps: 0.050041629607316875 
episode: 144, loss: 1.3989451784083464e-08, reward: -0.010000000000001426, eps: 0.05003862159702664 
episode: 145, loss: 1.2601350288277965e-08, reward: -0.010000000000001426, eps: 0.05003583093507308 
episode: 146, loss: 1.1147366128262584e-08, reward: -0.010000000000001426, eps: 0.05003324191662311 
episode: 147, loss: 1.1021416557743745e-08, reward: -0.010000000000001426, eps: 0.05003083997162017 
episode: 148, loss: 1.1854720919696937e-08, reward: -0.010000000000001426, eps: 0.050028611582789165 
episode: 149, loss: 1.176772018888755e-08, reward: -0.010000000000001426, eps: 0.0500265442095662 
episode: 150, loss: 1.2181763624472099e-08, reward: -0.010000000000001426, eps: 0.05002462621752478 
episode: 151, loss: 1.1615377945500002e-08, reward: -0.010098990100991377, eps: 0.05002284681290153 
episode: 152, loss: 1.1379106473093436e-08, reward: -0.010000000000001426, eps: 0.050021195981852756 
episode: 153, loss: 1.047417184326859e-08, reward: -0.010000000000001426, eps: 0.05001966443410023 
episode: 154, loss: 9.80863589739095e-09, reward: -0.010000000000001426, eps: 0.05001824355064883 
episode: 155, loss: 1.0662657212133834e-08, reward: -0.010000000000001426, eps: 0.05001692533528196 
episode: 156, loss: 1.1459455364628334e-08, reward: -0.010000000000001426, eps: 0.050015702369561765 
episode: 157, loss: 1.2408223088547434e-08, reward: -0.010000000000001426, eps: 0.05001456777108085 
episode: 158, loss: 1.4001647337541902e-08, reward: -0.010000000000001426, eps: 0.050013515154730584 
episode: 159, loss: 1.502446985706452e-08, reward: -0.010000000000001426, eps: 0.05001253859676802 
episode: 160, loss: 1.2841014297311117e-08, reward: -0.010000000000001426, eps: 0.050011632601479235 
episode: 161, loss: 9.589794280252592e-09, reward: -0.010000000000001426, eps: 0.050010792070251414 
episode: 162, loss: 9.991268234956776e-09, reward: -0.010000000000001426, eps: 0.05001001227287975 
episode: 163, loss: 1.1952519935013995e-08, reward: -0.010000000000001426, eps: 0.05000928882094753 
episode: 164, loss: 1.1473458395451122e-08, reward: -0.010000000000001426, eps: 0.05000861764312974 
episode: 165, loss: 1.1041103994839109e-08, reward: -0.010000000000001426, eps: 0.05000799496228112 
