HYPERPARAMETERS: 

folder: 13 
eps_decay: 500000 
mom: 0.8 
batch_size: 256 
exp_replay: 20000 
neurons: 128 
gamma: 0.9 
lr: 0.001 
episodes: 1000 

TRAINING: 

optimal load angle: 81.0 
episode: 0, loss: 9.401408731968943e-05, reward: -0.010000000000001426, eps: 0.8873468233545754 
episode: 1, loss: 2.617291967475101e-06, reward: -0.010000000000001426, eps: 0.8748803532752888 
episode: 2, loss: 1.587727380933909e-07, reward: -0.010000000000001426, eps: 0.8625994847554792 
episode: 3, loss: 1.0301651447654582e-07, reward: -0.010000000000001426, eps: 0.8505014545479195 
episode: 4, loss: 1.1242588681459409e-07, reward: -0.010000000000001426, eps: 0.8385835405447739 
episode: 5, loss: 1.1124063011615305e-07, reward: -0.010000000000001426, eps: 0.8268430611651126 
episode: 6, loss: 1.0154685419137672e-07, reward: -0.010000000000001426, eps: 0.8152773747515448 
episode: 7, loss: 9.572521025932859e-08, reward: -0.010000000000001426, eps: 0.8038838789758341 
episode: 8, loss: 9.333147477061934e-08, reward: -0.010000000000001426, eps: 0.7926600102533645 
episode: 9, loss: 9.166357965606093e-08, reward: -0.010000000000001426, eps: 0.7816032431663223 
episode: 10, loss: 1.0508446350068948e-07, reward: -0.010000000000001426, eps: 0.7707110898954669 
episode: 11, loss: 1.0551117042530287e-07, reward: -0.010000000000001426, eps: 0.7599810996603606 
episode: 12, loss: 1.0739413962889767e-07, reward: -0.010000000000001426, eps: 0.7494108581679332 
episode: 13, loss: 1.5615498450975873e-07, reward: -0.010000000000001426, eps: 0.7389979870692552 
episode: 14, loss: 1.528873267585813e-07, reward: -0.010000000000001426, eps: 0.7287401434244 
episode: 15, loss: 1.4055215894484775e-07, reward: -0.010000000000001426, eps: 0.7186350191752715 
episode: 16, loss: 1.3587363091392848e-07, reward: -0.010000000000001426, eps: 0.7086803406262827 
episode: 17, loss: 1.3588056726820694e-07, reward: -0.010000000000001426, eps: 0.6988738679327633 
episode: 18, loss: 1.217840762769975e-07, reward: -0.010000000000001426, eps: 0.689213394596986 
episode: 19, loss: 1.323915784224805e-07, reward: -0.010000000000001426, eps: 0.6796967469716948 
episode: 20, loss: 1.369353925829706e-07, reward: -0.010000000000001426, eps: 0.6703217837710251 
episode: 21, loss: 1.2816242637683942e-07, reward: -0.010000000000001426, eps: 0.6610863955887063 
episode: 22, loss: 1.0016744037992421e-07, reward: -0.010000000000001426, eps: 0.6519885044234349 
episode: 23, loss: 1.00274913059615e-07, reward: -0.010000000000001426, eps: 0.6430260632113168 
episode: 24, loss: 1.1622161479702759e-07, reward: -0.010000000000001426, eps: 0.6341970553652687 
episode: 25, loss: 1.807997849968248e-07, reward: -0.010000000000001426, eps: 0.6254994943212777 
episode: 26, loss: 1.7560114473975618e-07, reward: -0.010000000000001426, eps: 0.6169314230914156 
episode: 27, loss: 1.6719767379621763e-07, reward: -0.010000000000001426, eps: 0.608490913823509 
episode: 28, loss: 1.8612073480799457e-07, reward: -0.010000000000001426, eps: 0.6001760673673638 
episode: 29, loss: 1.8617038467401048e-07, reward: -0.010000000000001426, eps: 0.591985012847449 
episode: 30, loss: 1.9166177640668621e-07, reward: -0.010000000000001426, eps: 0.5839159072419413 
episode: 31, loss: 2.517130904847839e-07, reward: -0.010098990100991377, eps: 0.5759669349680377 
episode: 32, loss: 2.3824953047542794e-07, reward: -0.010000000000001426, eps: 0.5681363074734416 
episode: 33, loss: 2.1374672428100931e-07, reward: -0.010000000000001426, eps: 0.5604222628339309 
episode: 34, loss: 1.9402399664303388e-07, reward: -0.010000000000001426, eps: 0.5528230653569179 
episode: 35, loss: 2.332217097449107e-07, reward: -0.010000000000001426, eps: 0.5453370051909109 
episode: 36, loss: 2.702542873836765e-07, reward: -0.010000000000001426, eps: 0.5379623979407906 
episode: 37, loss: 3.364323831728135e-07, reward: -0.010000000000001426, eps: 0.5306975842888138 
episode: 38, loss: 3.3481280471420074e-07, reward: -0.010000000000001426, eps: 0.52354092962126 
episode: 39, loss: 3.241010295746522e-07, reward: -0.010000000000001426, eps: 0.5164908236606368 
episode: 40, loss: 3.21582568754035e-07, reward: -0.010000000000001426, eps: 0.5095456801033602 
episode: 41, loss: 3.004652243667639e-07, reward: -0.010000000000001426, eps: 0.5027039362628297 
episode: 42, loss: 0.0001294840945171186, reward: 0.013530646935305255, eps: 0.49596405271781746 
episode: 43, loss: 0.006074078572646008, reward: -0.010000000000001426, eps: 0.4893245129660916 
episode: 44, loss: 0.005945264660325462, reward: -0.010000000000001426, eps: 0.4827838230831974 
episode: 45, loss: 0.004321890403069469, reward: -0.010000000000001426, eps: 0.4763405113863172 
episode: 46, loss: 2.3311428169033033e-05, reward: -0.009897010298971578, eps: 0.4699931281031366 
episode: 47, loss: 6.0742839443239796e-05, reward: -0.010000000000001426, eps: 0.4637402450456385 
episode: 48, loss: 6.464431016236694e-05, reward: -0.00888911108889253, eps: 0.45758045528875535 
episode: 49, loss: 0.00030835174346174145, reward: -0.010000000000001426, eps: 0.45151237285380513 
episode: 50, loss: 0.0002894871347578594, reward: -0.010098990100991377, eps: 0.44553463239664015 
episode: 51, loss: 0.00021743625839761458, reward: -0.010000000000001426, eps: 0.4396458889004385 
episode: 52, loss: 2.3910469789865643e-06, reward: -0.010000000000001426, eps: 0.43384481737307046 
episode: 53, loss: 2.4368191214685938e-06, reward: -0.010000000000001426, eps: 0.42813011254896877 
episode: 54, loss: 2.023024983157733e-06, reward: -0.010000000000001426, eps: 0.422500488595439 
episode: 55, loss: 1.6343491590733495e-06, reward: -0.010000000000001426, eps: 0.4169546788233415 
episode: 56, loss: 1.4739766522695172e-06, reward: -0.010000000000001426, eps: 0.4114914354020808 
episode: 57, loss: 1.2949113752152708e-06, reward: -0.010000000000001426, eps: 0.406109529078839 
episode: 58, loss: 9.477000772942343e-07, reward: -0.010000000000001426, eps: 0.4008077489019884 
episode: 59, loss: 4.866434080831693e-07, reward: -0.010000000000001426, eps: 0.39558490194862195 
episode: 60, loss: 7.959183675623744e-07, reward: -0.010000000000001426, eps: 0.3904398130561412 
episode: 61, loss: 1.3695290600650315e-06, reward: -0.010000000000001426, eps: 0.3853713245578393 
episode: 62, loss: 1.252934790358418e-06, reward: -0.010000000000001426, eps: 0.38037829602242135 
episode: 63, loss: 1.2062804741758359e-06, reward: -0.010000000000001426, eps: 0.37545960399740225 
episode: 64, loss: 1.4317633896500735e-06, reward: -0.010000000000001426, eps: 0.3706141417563256 
episode: 65, loss: 1.3677989216597485e-06, reward: -0.010000000000001426, eps: 0.36584081904974525 
episode: 66, loss: 1.126338000485399e-06, reward: -0.010000000000001426, eps: 0.36113856185991444 
episode: 67, loss: 1.042911233392683e-06, reward: -0.010000000000001426, eps: 0.35650631215912787 
episode: 68, loss: 1.1572944308117314e-06, reward: -0.010000000000001426, eps: 0.3519430276716602 
episode: 69, loss: 1.0901121687249912e-06, reward: -0.010000000000001426, eps: 0.3474476816392504 
episode: 70, loss: 0.00854447705226125, reward: 0.12805319468053342, eps: 0.3430192625900763 
episode: 71, loss: 0.03176742728964223, reward: -0.010000000000001426, eps: 0.3386567741111692 
episode: 72, loss: 0.03786361488849729, reward: -0.00010298970103115432, eps: 0.334359234624217 
episode: 73, loss: 0.02437746527903055, reward: -0.010000000000001426, eps: 0.33012567716470476 
episode: 74, loss: 0.005702990151122481, reward: -0.010000000000001426, eps: 0.3259551491643437 
episode: 75, loss: 0.003682993028152171, reward: -0.010098990100991377, eps: 0.32184671223673905 
episode: 76, loss: 0.0001148402377474904, reward: -0.006364363563644829, eps: 0.31779944196624965 
episode: 77, loss: 0.0022143127523865784, reward: -0.004645535446455144, eps: 0.31381242769998996 
episode: 78, loss: 0.00825418107069554, reward: 0.023629637036296728, eps: 0.3098847723429299 
episode: 79, loss: 0.020303869016016694, reward: -0.010000000000001426, eps: 0.30601559215604407 
episode: 80, loss: 0.019565079602435323, reward: -0.009495050494951729, eps: 0.30220401655746715 
episode: 81, loss: 0.009196516423961368, reward: -0.010000000000001426, eps: 0.29844918792660946 
episode: 82, loss: 0.002528647407108414, reward: 0.012621737826218811, eps: 0.29475026141118804 
episode: 83, loss: 0.021182196681765922, reward: 0.035217588910352995, eps: 0.2916857550507895 
episode: 84, loss: 0.026869923617559632, reward: 0.003188711591718363, eps: 0.2892417027508268 
episode: 85, loss: 0.0275235389031223, reward: 0.007759747577191792, eps: 0.28831714996706886 
episode: 86, loss: 0.028267357863635555, reward: 0.007673232676730791, eps: 0.28476906984473316 
episode: 87, loss: 0.01947625645712177, reward: 0.0007049295070485345, eps: 0.28127381375355204 
episode: 88, loss: 0.01556475524926172, reward: -0.010000000000001426, eps: 0.27783059524615905 
episode: 89, loss: 0.013462639543954071, reward: 0.02332666733326941, eps: 0.2744386395838641 
episode: 90, loss: 0.03506075780219088, reward: 0.026558344165586903, eps: 0.27109718356233303 
episode: 91, loss: 0.060898453633982344, reward: 0.023528647135288433, eps: 0.26780547533986426 
episode: 92, loss: 0.057391761900754096, reward: -0.010000000000001426, eps: 0.2645627742682208 
episode: 93, loss: 0.03293960509566522, reward: -0.010000000000001426, eps: 0.261368350725981 
episode: 94, loss: 0.013084683687955415, reward: 0.01029897010298851, eps: 0.2582214859543716 
episode: 95, loss: 0.018324179670123633, reward: -0.010000000000001426, eps: 0.2551214718955429 
episode: 96, loss: 0.018161112005284016, reward: -0.010000000000001426, eps: 0.25206761103325337 
episode: 97, loss: 0.009364652475135654, reward: -0.0013148685131494251, eps: 0.24905921623592542 
episode: 98, loss: 0.008994329245492785, reward: -0.010000000000001426, eps: 0.24609561060203794 
episode: 99, loss: 0.007972875147472637, reward: -0.010000000000001426, eps: 0.24317612730782057 
episode: 100, loss: 0.005077418519606236, reward: -0.010000000000001426, eps: 0.24030010945721525 
episode: 101, loss: 0.010831632760589849, reward: 0.06998400159984236, eps: 0.23746690993407243 
episode: 102, loss: 0.07883214259496148, reward: 0.20460353964603703, eps: 0.23467589125654675 
episode: 103, loss: 0.1683555144136501, reward: 0.13249170124481494, eps: 0.23205782374190542 
episode: 104, loss: 0.16849080979753117, reward: 0.16050319229520804, eps: 0.2296201511038723 
episode: 105, loss: 0.17562250232326518, reward: 0.022717948717947467, eps: 0.2291881461227585 
episode: 106, loss: 0.16505451337275612, reward: 0.006017123830664927, eps: 0.2278293441159408 
episode: 107, loss: 0.16380373936896975, reward: 0.2105122246918497, eps: 0.22521790127053848 
episode: 108, loss: 0.17950052958057852, reward: 0.041320153061225544, eps: 0.22444758944066273 
episode: 109, loss: 0.19878752099195118, reward: 0.010617477760334585, eps: 0.22398730720992438 
episode: 110, loss: 0.18265783121400478, reward: 0.11882066641707392, eps: 0.22207980460755355 
episode: 111, loss: 0.18887688103692787, reward: 0.012888146911519086, eps: 0.22149847072045842 
episode: 112, loss: 0.2040115477422286, reward: 0.0801646498710591, eps: 0.22062946762587804 
episode: 113, loss: 0.18740909007146633, reward: 0.11094019228368233, eps: 0.21876012863368416 
episode: 114, loss: 0.12762119128827798, reward: -0.010000000000001426, eps: 0.21624761764599093 
episode: 115, loss: 0.0759261177866532, reward: -0.010000000000001426, eps: 0.2137725130736305 
episode: 116, loss: 0.022609050437746955, reward: 0.0011997804610311507, eps: 0.21162201196803293 
episode: 117, loss: 0.006127035724809754, reward: -0.010098990100991377, eps: 0.20921577369237832 
episode: 118, loss: 0.006307113975236571, reward: -0.0005657057788602232, eps: 0.20766686369660142 
episode: 119, loss: 0.015692751823042177, reward: 0.09171228070175548, eps: 0.20666133123109803 
episode: 120, loss: 0.05453270980298374, reward: 0.050894963489984076, eps: 0.20577401722704886 
episode: 121, loss: 0.0645675617281812, reward: -0.010000000000001426, eps: 0.20345484425029903 
episode: 122, loss: 0.06555118277658131, reward: 0.030680047537305008, eps: 0.2019060669893289 
episode: 123, loss: 0.08843051859920258, reward: 0.04155839133797465, eps: 0.20109674839406355 
episode: 124, loss: 0.10422805697992317, reward: 0.17582141785821745, eps: 0.1988472108781919 
episode: 125, loss: 0.20067604009422252, reward: 0.17592240775922785, eps: 0.19663116461272168 
episode: 126, loss: 0.23895710332729067, reward: -0.010000000000001426, eps: 0.19444811097789422 
episode: 127, loss: 0.17950181301570323, reward: 0.13047695230477263, eps: 0.19229755877743188 
episode: 128, loss: 0.15653874888850766, reward: 0.13239776022398242, eps: 0.19017902412801668 
episode: 129, loss: 0.16946849935384614, reward: 0.05951310861423369, eps: 0.1896833883137597 
episode: 130, loss: 0.1951493182203827, reward: 0.08402159784022033, eps: 0.18760377359209557 
episode: 131, loss: 0.13897659148845468, reward: -0.009495050494951928, eps: 0.18555512030000998 
episode: 132, loss: 0.09094433903818087, reward: 0.07525747655282392, eps: 0.18470380749317672 
episode: 133, loss: 0.0834780380410641, reward: 0.045931440980302156, eps: 0.18364490895407687 
episode: 134, loss: 0.07664433577670078, reward: 0.07829041228388622, eps: 0.18211151142553222 
episode: 135, loss: 0.17219640507418005, reward: 0.4629357064293277, eps: 0.18014462726429825 
episode: 136, loss: 0.21872678211946128, reward: 0.17804319568043225, eps: 0.17820702619325046 
episode: 137, loss: 0.2150144802051312, reward: 0.013032202906810782, eps: 0.1779488211865426 
episode: 138, loss: 0.24373742558449313, reward: 0.04159714476912816, eps: 0.17744263598125565 
episode: 139, loss: 0.24277764584031208, reward: 0.19648543360433812, eps: 0.17657820639147476 
episode: 140, loss: 0.24380157351411735, reward: 0.018663911845728867, eps: 0.17629271524224988 
episode: 141, loss: 0.26199320620643046, reward: 0.019345026034528832, eps: 0.17600307979678226 
episode: 142, loss: 0.2487924285259558, reward: 0.07705941017239168, eps: 0.17486964454023302 
episode: 143, loss: 0.2554221208722842, reward: 0.02521695510408717, eps: 0.1744990828840381 
episode: 144, loss: 0.27307140263751967, reward: 0.01169154228855688, eps: 0.17417133546243674 
episode: 145, loss: 0.26353914156957015, reward: 0.007399934383202638, eps: 0.17328174546884662 
episode: 146, loss: 0.17014516172897376, reward: 0.05265358699960538, eps: 0.17265583567617637 
episode: 147, loss: 0.13997942871832153, reward: 0.05039196080392399, eps: 0.17082972818659264 
episode: 148, loss: 0.10718798168311237, reward: 0.0008059194080588648, eps: 0.16903080789560512 
episode: 149, loss: 0.06839697213921501, reward: -0.010000000000001426, eps: 0.16725867003855913 
episode: 150, loss: 0.01859651863909386, reward: -0.010000000000001426, eps: 0.1655129158769605 
episode: 151, loss: 0.0034659172985613005, reward: 0.014540545945406354, eps: 0.16379315260875796 
episode: 152, loss: 0.035703833559074485, reward: 0.05150284971503004, eps: 0.16209899327996088 
episode: 153, loss: 0.07970300404243741, reward: 0.01443955604439721, eps: 0.16043005669757293 
episode: 154, loss: 0.08812230433767712, reward: -0.010000000000001426, eps: 0.15878596734382228 
episode: 155, loss: 0.050838573481230366, reward: -0.010000000000001426, eps: 0.15716635529166817 
episode: 156, loss: 0.008448239646701584, reward: 0.0005172413793107932, eps: 0.15638752773323358 
episode: 157, loss: 0.007394184963711873, reward: 0.02385290148447859, eps: 0.15597448414098952 
episode: 158, loss: 0.014722334122083304, reward: 0.01972503617944841, eps: 0.15562640099890818 
episode: 159, loss: 0.021804780068678597, reward: 0.03661650363682059, eps: 0.15531294536094128 
episode: 160, loss: 0.04209784987141016, reward: 0.1337574587574612, eps: 0.15464172257436382 
episode: 161, loss: 0.09221791522258371, reward: 0.016023568100849234, eps: 0.15440174078385294 
episode: 162, loss: 0.09328815791873388, reward: 0.006469802244788109, eps: 0.15414293697161796 
episode: 163, loss: 0.09512575704209207, reward: 0.007817846801789471, eps: 0.15387293252464665 
episode: 164, loss: 0.09791109811257967, reward: 0.015835073068892765, eps: 0.15359679048638644 
episode: 165, loss: 0.10420633666817535, reward: 0.017669172932329665, eps: 0.15334370238978262 
episode: 166, loss: 0.10645615094797543, reward: 0.007263496780584099, eps: 0.15302651162062245 
episode: 167, loss: 0.11112773407120626, reward: 0.001985101393295928, eps: 0.15205280235479574 
episode: 168, loss: 0.1058533956540511, reward: 0.00853243847874722, eps: 0.15165170869088818 
episode: 169, loss: 0.07736196894965616, reward: -0.010000000000001426, eps: 0.15013831191244634 
episode: 170, loss: 0.022470722971198176, reward: -0.010000000000001426, eps: 0.14864744667664648 
episode: 171, loss: 0.011358517274788553, reward: 0.0055768159019137144, eps: 0.14808047836640348 
episode: 172, loss: 0.007462830820873235, reward: -0.010000000000001426, eps: 0.14662025028072395 
episode: 173, loss: 0.00547969367082554, reward: 0.0025075434398075347, eps: 0.14525603289528294 
episode: 174, loss: 0.013759786198767807, reward: 0.0057872626449341266, eps: 0.14460102863174207 
episode: 175, loss: 0.01653914108075444, reward: -0.010000000000001426, eps: 0.1431926028038603 
episode: 176, loss: 0.0158407873799533, reward: 0.0035443823711978854, eps: 0.14216314755153786 
episode: 177, loss: 0.024629634712722732, reward: 0.021559464426357394, eps: 0.14192236383995382 
episode: 178, loss: 0.02761560893309375, reward: 0.008875226039782516, eps: 0.14086331546494002 
episode: 179, loss: 0.03132290272952898, reward: -0.010000000000001426, eps: 0.139510536936432 
