HYPERPARAMETERS: 

episodes: 1000 
neurons: 64 
mom: 0.8 
eps_decay: 500000 
exp_replay: 20000 
folder: 14 
lr: 0.01 
batch_size: 256 
gamma: 0.9 

TRAINING: 

optimal load angle: 81.0 
episode: 0, loss: 3.1217122924821997e-05, reward: -0.010000000000001426, eps: 0.8873468233545754 
episode: 1, loss: 1.2925682265562462e-07, reward: -0.010000000000001426, eps: 0.8748803532752888 
episode: 2, loss: 1.2856978332153582e-07, reward: -0.010000000000001426, eps: 0.8625994847554792 
episode: 3, loss: 7.402710139436374e-08, reward: -0.010098990100991377, eps: 0.8505014545479195 
episode: 4, loss: 6.55320412381921e-08, reward: -0.010000000000001426, eps: 0.8385835405447739 
episode: 5, loss: 5.284455917509124e-08, reward: -0.010000000000001426, eps: 0.8268430611651126 
episode: 6, loss: 3.732428094021558e-08, reward: -0.010000000000001426, eps: 0.8152773747515448 
episode: 7, loss: 3.7231889060291884e-08, reward: -0.010000000000001426, eps: 0.8038838789758341 
episode: 8, loss: 4.11541742878721e-08, reward: -0.010000000000001426, eps: 0.7926600102533645 
episode: 9, loss: 5.3855652905935106e-08, reward: -0.010098990100991377, eps: 0.7816032431663223 
episode: 10, loss: 5.218825240720161e-08, reward: -0.010000000000001426, eps: 0.7707110898954669 
episode: 11, loss: 4.476232027064395e-08, reward: -0.010000000000001426, eps: 0.7599810996603606 
episode: 12, loss: 3.3243518153548003e-08, reward: -0.010000000000001426, eps: 0.7494108581679332 
episode: 13, loss: 4.659998434561587e-08, reward: -0.010000000000001426, eps: 0.7389979870692552 
episode: 14, loss: 8.63073979819131e-08, reward: -0.010000000000001426, eps: 0.7287401434244 
episode: 15, loss: 8.941249356036617e-08, reward: -0.010000000000001426, eps: 0.7186350191752715 
episode: 16, loss: 8.094210382310915e-08, reward: -0.010000000000001426, eps: 0.7086803406262827 
episode: 17, loss: 5.170642867440488e-08, reward: -0.010000000000001426, eps: 0.6988738679327633 
episode: 18, loss: 3.1101552330626015e-08, reward: -0.010000000000001426, eps: 0.689213394596986 
episode: 19, loss: 3.303708672631811e-08, reward: -0.010000000000001426, eps: 0.6796967469716948 
episode: 20, loss: 0.0023531442464739456, reward: 0.07866377392078393, eps: 0.6715798296751236 
episode: 21, loss: 0.026930430855141255, reward: -0.010000000000001426, eps: 0.6623257116294023 
episode: 22, loss: 0.050551421900283826, reward: -0.010000000000001426, eps: 0.6532093694520662 
episode: 23, loss: 0.040241413606890736, reward: -0.010000000000001426, eps: 0.6442287519276653 
episode: 24, loss: 1.7402498561589633e-05, reward: -0.010000000000001426, eps: 0.6353818383793695 
episode: 25, loss: 2.5806849826555156e-05, reward: -0.009596040395961828, eps: 0.6266666382143072 
episode: 26, loss: 0.0001491137383598527, reward: -0.009596040395961734, eps: 0.6180811904756738 
episode: 27, loss: 0.00021727404144567268, reward: -0.010098990100991377, eps: 0.609623563401508 
episode: 28, loss: 0.00017195314828212814, reward: -0.010000000000001426, eps: 0.601291853990037 
episode: 29, loss: 4.3948921482193745e-05, reward: -0.010000000000001426, eps: 0.5930841875714938 
episode: 30, loss: 4.0421150421830415e-07, reward: -0.010000000000001426, eps: 0.5849987173863077 
episode: 31, loss: 9.607908076087328e-08, reward: -0.010098990100991377, eps: 0.5770336241695764 
episode: 32, loss: 2.8423353714375285e-08, reward: -0.010000000000001426, eps: 0.569187115741723 
episode: 33, loss: 1.665386142261977e-08, reward: -0.010000000000001426, eps: 0.5614574266052486 
episode: 34, loss: 2.656921002438827e-08, reward: -0.010000000000001426, eps: 0.5538428175474874 
episode: 35, loss: 4.3182702798633506e-08, reward: -0.010000000000001426, eps: 0.5463415752492774 
episode: 36, loss: 2.1070470353778208e-07, reward: -0.010000000000001426, eps: 0.5389520118994551 
episode: 37, loss: 2.0524393416870973e-07, reward: -0.010000000000001426, eps: 0.5316724648150919 
episode: 38, loss: 1.2227667644383393e-07, reward: -0.010000000000001426, eps: 0.5245012960673832 
episode: 39, loss: 9.429995327922104e-08, reward: -0.010000000000001426, eps: 0.517436892113107 
episode: 40, loss: 8.193979498715873e-08, reward: -0.010000000000001426, eps: 0.5104776634315703 
episode: 41, loss: 1.5212416511692928e-05, reward: -0.009798020197981627, eps: 0.5036220441669605 
episode: 42, loss: 5.475008359047154e-05, reward: -0.010000000000001426, eps: 0.4968684917760206 
episode: 43, loss: 5.954287077862343e-05, reward: -0.010000000000001426, eps: 0.4902154866809709 
episode: 44, loss: 2.8913465531158164e-05, reward: -0.010000000000001426, eps: 0.4836615319275975 
episode: 45, loss: 6.679815931752905e-08, reward: -0.010000000000001426, eps: 0.477205152848431 
episode: 46, loss: 1.4057495206505927e-08, reward: -0.010000000000001426, eps: 0.4708448967309407 
episode: 47, loss: 1.2939535980484695e-08, reward: -0.010000000000001426, eps: 0.46457933249066763 
episode: 48, loss: 1.2733743630797919e-08, reward: -0.010000000000001426, eps: 0.45840705034922463 
episode: 49, loss: 1.0458369239478631e-08, reward: -0.010000000000001426, eps: 0.45232666151709033 
episode: 50, loss: 1.3850207407785736e-08, reward: -0.010000000000001426, eps: 0.44633679788112574 
episode: 51, loss: 0.00023560691350801537, reward: -0.005657434256573994, eps: 0.4404361116967428 
episode: 52, loss: 0.0012481221711892333, reward: -0.010000000000001426, eps: 0.4346232752846563 
episode: 53, loss: 0.001242060689649709, reward: -0.010000000000001426, eps: 0.42889698073215043 
episode: 54, loss: 0.0006880925493188932, reward: -0.010000000000001426, eps: 0.423255939598793 
episode: 55, loss: 4.480004249829547e-06, reward: -0.010000000000001426, eps: 0.4176988826265306 
episode: 56, loss: 1.1555829641025965e-06, reward: -0.010000000000001426, eps: 0.41222455945410047 
episode: 57, loss: 6.291557137764832e-07, reward: -0.010000000000001426, eps: 0.40683173833569375 
episode: 58, loss: 2.809575131069201e-07, reward: -0.010000000000001426, eps: 0.4015192058638078 
episode: 59, loss: 1.5091588230353044e-07, reward: -0.010000000000001426, eps: 0.396285766696224 
episode: 60, loss: 2.518250906279037e-07, reward: -0.010000000000001426, eps: 0.3911302432870508 
episode: 61, loss: 5.628946755554791e-07, reward: -0.010098990100991377, eps: 0.3860514756217713 
episode: 62, loss: 4.5550594196320815e-07, reward: -0.010000000000001426, eps: 0.3810483209562344 
episode: 63, loss: 2.8220387383146516e-07, reward: -0.010000000000001426, eps: 0.3761196535595333 
episode: 64, loss: 1.2414651968387008e-07, reward: -0.010000000000001426, eps: 0.3712643644607107 
episode: 65, loss: 8.123631339159233e-08, reward: -0.010098990100991377, eps: 0.36648136119923597 
episode: 66, loss: 9.459876569377793e-08, reward: -0.010000000000001426, eps: 0.3617695675791968 
episode: 67, loss: 1.5048054121222054e-07, reward: -0.010000000000001426, eps: 0.35712792342715066 
episode: 68, loss: 1.239940814614856e-07, reward: -0.010000000000001426, eps: 0.3525553843535813 
episode: 69, loss: 1.674352842859346e-07, reward: -0.010098990100991377, eps: 0.3480509215179066 
episode: 70, loss: 4.7956707575688647e-05, reward: -0.009291070892912182, eps: 0.3436135213969852 
episode: 71, loss: 0.0002472651832418143, reward: -0.010000000000001426, eps: 0.3392421855570695 
episode: 72, loss: 0.00022899662904384466, reward: -0.010000000000001426, eps: 0.3349359304291536 
episode: 73, loss: 0.00013242418279561707, reward: -0.010000000000001426, eps: 0.33069378708766684 
episode: 74, loss: 6.488494342216504e-07, reward: -0.010000000000001426, eps: 0.32651480103246056 
episode: 75, loss: 0.00028399137417182377, reward: -0.007576242375762132, eps: 0.3223980319740422 
episode: 76, loss: 0.0007048927125832215, reward: -0.010000000000001426, eps: 0.3183425536220058 
episode: 77, loss: 0.000664070006798999, reward: -0.010000000000001426, eps: 0.31434745347661297 
episode: 78, loss: 0.00022337857519915907, reward: -0.010000000000001426, eps: 0.3104118326234766 
episode: 79, loss: 4.2766051545242086e-07, reward: -0.010000000000001426, eps: 0.30653480553130114 
episode: 80, loss: 5.99186187413939e-07, reward: -0.010000000000001426, eps: 0.3027154998526346 
episode: 81, loss: 1.910528304458835e-06, reward: -0.010000000000001426, eps: 0.29895305622758633 
episode: 82, loss: 1.6712676284950561e-06, reward: -0.010000000000001426, eps: 0.2952466280904679 
episode: 83, loss: 0.015620053943649778, reward: 0.08133979284998673, eps: 0.29208970746811086 
episode: 84, loss: 0.08361457761851278, reward: -0.010000000000001426, eps: 0.2884854612818487 
episode: 85, loss: 0.07146866586770419, reward: -0.010000000000001426, eps: 0.2849348753304931 
episode: 86, loss: 0.036552754338823906, reward: -0.010000000000001426, eps: 0.28143715071722575 
episode: 87, loss: 1.0497900110746207e-05, reward: -0.010000000000001426, eps: 0.27799150043925264 
episode: 88, loss: 5.109287019768907e-07, reward: -0.010000000000001426, eps: 0.27459714921072464 
episode: 89, loss: 2.748275669988514e-07, reward: -0.010000000000001426, eps: 0.27125333328829543 
episode: 90, loss: 1.4331725285540041e-08, reward: -0.010000000000001426, eps: 0.2679593002992756 
episode: 91, loss: 6.261977107913767e-07, reward: -0.010000000000001426, eps: 0.2647143090723458 
episode: 92, loss: 3.3116678095639533e-06, reward: -0.010098990100991377, eps: 0.26151762947079005 
episode: 93, loss: 9.039231413704963e-07, reward: -0.010000000000001426, eps: 0.2583685422282119 
episode: 94, loss: 4.5076307316431007e-07, reward: -0.010000000000001426, eps: 0.25526633878669647 
episode: 95, loss: 8.639784300959833e-08, reward: -0.010000000000001426, eps: 0.2522103211373819 
episode: 96, loss: 1.0968937606540997e-08, reward: -0.010000000000001426, eps: 0.2491998016634045 
episode: 97, loss: 9.04630990321766e-09, reward: -0.010000000000001426, eps: 0.24623410298518184 
episode: 98, loss: 8.278953894265734e-09, reward: -0.010000000000001426, eps: 0.2433125578079996 
episode: 99, loss: 7.918685984770184e-09, reward: -0.010000000000001426, eps: 0.24043450877186767 
episode: 100, loss: 1.1198741618861391e-05, reward: -0.010000000000001426, eps: 0.23759930830361098 
episode: 101, loss: 0.013146780133190381, reward: 0.11199441220717903, eps: 0.23679361597431287 
episode: 102, loss: 0.0722587887363518, reward: 0.044700589005236824, eps: 0.23544945209782736 
episode: 103, loss: 0.09925454316554867, reward: 0.092732500821559, eps: 0.23412453503001324 
episode: 104, loss: 0.13293187709562268, reward: 0.07662109375000119, eps: 0.2329751496730753 
episode: 105, loss: 0.16646526859921038, reward: 0.040556359875905654, eps: 0.23212301211082687 
episode: 106, loss: 0.19009438856624197, reward: 0.12092805449127564, eps: 0.22962877307805102 
episode: 107, loss: 0.19637284019332255, reward: 0.11643935606439433, eps: 0.2269544490554372 
episode: 108, loss: 0.19287459907496218, reward: -0.010000000000001426, eps: 0.2243199405303931 
episode: 109, loss: 0.10023094994965753, reward: -0.010000000000001426, eps: 0.22172465472738606 
episode: 110, loss: 0.047967107068246466, reward: 0.0015977849810915544, eps: 0.22004895216042675 
episode: 111, loss: 0.006917233434794343, reward: 0.01253074511695149, eps: 0.2180901343441472 
episode: 112, loss: 0.06773112736253666, reward: 0.12118588141186111, eps: 0.21558759827190216 
episode: 113, loss: 0.17565982958806442, reward: 0.09745325467453529, eps: 0.21312232010784632 
episode: 114, loss: 0.2042113643420087, reward: 0.07008499150085465, eps: 0.21069374515399214 
episode: 115, loss: 0.16191392529285098, reward: 0.047764161220044316, eps: 0.20914477929024 
episode: 116, loss: 0.11362850370473915, reward: -0.010000000000001426, eps: 0.20677542220430967 
episode: 117, loss: 0.06121452060648761, reward: -0.001612683723461866, eps: 0.20526298389404302 
episode: 118, loss: 0.07178448599912864, reward: 0.06907509249075545, eps: 0.20295141921241977 
episode: 119, loss: 0.11357424153954063, reward: 0.01965610982737642, eps: 0.20147314514746673 
episode: 120, loss: 0.14401127282653364, reward: 0.03918208179182142, eps: 0.19921800381399718 
episode: 121, loss: 0.14882827367540524, reward: 0.005303787268332554, eps: 0.19811668117735914 
episode: 122, loss: 0.09401525702026031, reward: 0.024267880746073122, eps: 0.19684598985141993 
episode: 123, loss: 0.0919593245872049, reward: 0.01649306856500463, eps: 0.1960151450407669 
episode: 124, loss: 0.08158425329643404, reward: 0.01763952225841399, eps: 0.1954020042633845 
episode: 125, loss: 0.07553399010372597, reward: 0.02474487471526088, eps: 0.19485371186777367 
episode: 126, loss: 0.08392702518276597, reward: 0.01261430468601746, eps: 0.1940534411008487 
episode: 127, loss: 0.07905777697864753, reward: 0.02908933966335712, eps: 0.1927770538236433 
episode: 128, loss: 0.07592486690876424, reward: 0.0076469694668090905, eps: 0.19161616714349305 
episode: 129, loss: 0.07009066510099812, reward: 0.014564234990315674, eps: 0.19100965306438966 
episode: 130, loss: 0.06392792704358836, reward: 0.021689947332263676, eps: 0.1904843857975257 
episode: 131, loss: 0.10918119512520728, reward: 0.13471852814718915, eps: 0.18839284577694548 
episode: 132, loss: 0.16210286004947264, reward: 0.052613738626142166, eps: 0.18633244473051425 
episode: 133, loss: 0.16660131198422884, reward: 0.07675032496750266, eps: 0.18430271905930423 
episode: 134, loss: 0.19715533535169513, reward: 0.12977002299770457, eps: 0.18230321206647643 
episode: 135, loss: 0.14476981670534664, reward: 0.006578919322177911, eps: 0.18049466562419875 
episode: 136, loss: 0.11948771906407425, reward: -0.010000000000001426, eps: 0.17855185316090755 
episode: 137, loss: 0.018626662986140952, reward: -0.010000000000001426, eps: 0.17663796540690974 
episode: 138, loss: 0.004543272404416229, reward: -0.010000000000001426, eps: 0.1747525717293864 
episode: 139, loss: 5.075347007295976e-06, reward: -0.010000000000001426, eps: 0.17289524790680605 
episode: 140, loss: 0.002659030453441083, reward: 0.036126760563380975, eps: 0.1712179723653177 
episode: 141, loss: 0.025192773393918236, reward: -0.010000000000001426, eps: 0.16941327187154856 
episode: 142, loss: 0.026150206178512415, reward: -0.010000000000001426, eps: 0.16763543986772905 
episode: 143, loss: 0.017349648617523798, reward: 0.03968703129686972, eps: 0.16588407633415803 
episode: 144, loss: 0.027064250125056647, reward: -0.010000000000001426, eps: 0.16415878720665178 
episode: 145, loss: 0.030280995826335522, reward: -0.010098990100991377, eps: 0.16245918428787803 
episode: 146, loss: 0.022704678846015656, reward: -0.010000000000001426, eps: 0.16078488516000977 
episode: 147, loss: 3.755976988361693e-05, reward: -0.010000000000001426, eps: 0.15913551309867977 
episode: 148, loss: 6.358287267457098e-06, reward: -0.010000000000001426, eps: 0.1575106969882159 
episode: 149, loss: 1.3262655644578316e-06, reward: -0.010000000000001426, eps: 0.1559100712381385 
episode: 150, loss: 8.645851706224173e-07, reward: -0.010000000000001426, eps: 0.15433327570090116 
episode: 151, loss: 6.844820039290359e-07, reward: -0.010000000000001426, eps: 0.15277995559085583 
episode: 152, loss: 5.770591048509393e-07, reward: -0.010000000000001426, eps: 0.15124976140442464 
episode: 153, loss: 4.593161940906631e-07, reward: -0.010000000000001426, eps: 0.14974234884146004 
episode: 154, loss: 3.6994138702535746e-07, reward: -0.010000000000001426, eps: 0.148257378727776 
episode: 155, loss: 2.997684904447103e-07, reward: -0.010000000000001426, eps: 0.14679451693883216 
episode: 156, loss: 2.3864831747545046e-07, reward: -0.010000000000001426, eps: 0.14535343432455444 
episode: 157, loss: 1.914088203878134e-07, reward: -0.010000000000001426, eps: 0.14393380663527505 
episode: 158, loss: 1.663667470931559e-07, reward: -0.010000000000001426, eps: 0.14253531444877487 
episode: 159, loss: 1.3967262826185336e-07, reward: -0.010000000000001426, eps: 0.14115764309841192 
episode: 160, loss: 1.1713494527363619e-07, reward: -0.010000000000001426, eps: 0.1398004826023203 
episode: 161, loss: 9.66673527369507e-08, reward: -0.010000000000001426, eps: 0.13846352759366282 
episode: 162, loss: 8.258317068266599e-08, reward: -0.010000000000001426, eps: 0.13714647725192225 
episode: 163, loss: 7.014722297908295e-08, reward: -0.010000000000001426, eps: 0.1358490352352153 
episode: 164, loss: 6.228088917238874e-08, reward: -0.010000000000001426, eps: 0.13457090961361462 
episode: 165, loss: 5.445569978889614e-08, reward: -0.010000000000001426, eps: 0.13331181280346316 
episode: 166, loss: 5.289396945646598e-08, reward: -0.010000000000001426, eps: 0.1320714615026669 
episode: 167, loss: 5.057196257541174e-08, reward: -0.010000000000001426, eps: 0.13084957662695026 
episode: 168, loss: 4.820252944327221e-08, reward: -0.010000000000001426, eps: 0.12964588324706142 
episode: 169, loss: 4.041249792295727e-08, reward: -0.010000000000001426, eps: 0.12846011052691175 
episode: 170, loss: 3.8930589036783495e-08, reward: -0.010000000000001426, eps: 0.12729199166263672 
episode: 171, loss: 1.2994728988662472e-06, reward: -0.010000000000001426, eps: 0.1261412638225638 
episode: 172, loss: 0.002093828505394856, reward: 0.0008059194080595883, eps: 0.12500766808807431 
episode: 173, loss: 0.006285464986456046, reward: -0.002829717028297884, eps: 0.12389094939534566 
episode: 174, loss: 0.009157876917239969, reward: -0.010000000000001426, eps: 0.12279085647796069 
episode: 175, loss: 0.005334214672994675, reward: -0.010000000000001426, eps: 0.12170714181037201 
episode: 176, loss: 0.002279511125812817, reward: -0.010000000000001426, eps: 0.12063956155220747 
episode: 177, loss: 4.0232565203472726e-05, reward: -0.010000000000001426, eps: 0.11958787549340502 
episode: 178, loss: 1.566256094653168e-05, reward: -0.010000000000001426, eps: 0.11855184700016463 
episode: 179, loss: 7.432363646012104e-06, reward: -0.010000000000001426, eps: 0.11753124296170457 
episode: 180, loss: 4.019430746782916e-06, reward: -0.010000000000001426, eps: 0.11652583373781049 
episode: 181, loss: 0.00024069295732276257, reward: 0.02433656634336449, eps: 0.11553539310716535 
episode: 182, loss: 0.019370338752767873, reward: 0.034031596840314995, eps: 0.11455969821644883 
episode: 183, loss: 0.030746778696013707, reward: 0.022450417964269477, eps: 0.11409653776775709 
episode: 184, loss: 0.06283793389155456, reward: 0.07370274596724768, eps: 0.11338012645727036 
episode: 185, loss: 0.09866394900514125, reward: 0.007528916929547287, eps: 0.11321517287559288 
episode: 186, loss: 0.10836608639206323, reward: 0.020799114826652188, eps: 0.11301749268292226 
episode: 187, loss: 0.10867518443629783, reward: 0.01054223149113628, eps: 0.11284946040037984 
episode: 188, loss: 0.09989564660791302, reward: 0.07099219968799064, eps: 0.11236001903818578 
episode: 189, loss: 0.13914643052982908, reward: 0.10997600239976454, eps: 0.11143159930839111 
episode: 190, loss: 0.15462908559669838, reward: 0.06069332982502413, eps: 0.11080818182960749 
episode: 191, loss: 0.12939565060430286, reward: 0.022578703703705037, eps: 0.11032619070498834 
episode: 192, loss: 0.11281571447072797, reward: 0.03790004259548608, eps: 0.10978066909908041 
episode: 193, loss: 0.09052028366266852, reward: -0.010000000000001426, eps: 0.10889065088696398 
episode: 194, loss: 0.04958944133983968, reward: -0.010000000000001426, eps: 0.10801388331974392 
episode: 195, loss: 0.024460798947680207, reward: -0.010098990100991377, eps: 0.10715016912101868 
episode: 196, loss: 1.2840262244547688e-05, reward: -0.010098990100991377, eps: 0.10629931395144977 
episode: 197, loss: 3.4089896300440887e-06, reward: -0.010098990100991377, eps: 0.10546112636503446 
episode: 198, loss: 1.5410372108345066e-06, reward: -0.010000000000001426, eps: 0.10463541776602966 
episode: 199, loss: 9.632874896895322e-07, reward: -0.010000000000001426, eps: 0.10382200236651709 
episode: 200, loss: 6.318220896929526e-07, reward: -0.010000000000001426, eps: 0.10302069714460027 
episode: 201, loss: 4.282573209609653e-07, reward: -0.010000000000001426, eps: 0.10223132180322377 
episode: 202, loss: 3.172917586452772e-07, reward: -0.010000000000001426, eps: 0.1014536987296055 
episode: 203, loss: 2.584926767816224e-07, reward: -0.010000000000001426, eps: 0.1006876529552733 
episode: 204, loss: 2.0030648840142442e-07, reward: -0.010000000000001426, eps: 0.0999330121166962 
episode: 205, loss: 1.5052831566849994e-07, reward: -0.010000000000001426, eps: 0.09918960641650182 
episode: 206, loss: 1.1435726114420061e-07, reward: -0.010000000000001426, eps: 0.09845726858527137 
episode: 207, loss: 0.00330138071726136, reward: 0.044791619479049465, eps: 0.0978477621836913 
