HYPERPARAMETERS: 

episodes: 1000 
neurons: 128 
eps_decay: 500000 
folder: 15 
gamma: 0.9 
mom: 0.8 
exp_replay: 20000 
lr: 0.01 
batch_size: 256 

TRAINING: 

optimal load angle: 81.0 
episode: 0, loss: 1.551623606954008e-05, reward: -0.010000000000001426, eps: 0.8873468233545754 
episode: 1, loss: 5.951301324582042e-08, reward: -0.010000000000001426, eps: 0.8748803532752888 
episode: 2, loss: 3.445019126065931e-08, reward: -0.010000000000001426, eps: 0.8625994847554792 
episode: 3, loss: 2.8763576515967078e-08, reward: -0.010000000000001426, eps: 0.8505014545479195 
episode: 4, loss: 2.6572583930060442e-08, reward: -0.010000000000001426, eps: 0.8385835405447739 
episode: 5, loss: 2.5149791809097713e-08, reward: -0.010000000000001426, eps: 0.8268430611651126 
episode: 6, loss: 2.355755769567347e-08, reward: -0.010000000000001426, eps: 0.8152773747515448 
episode: 7, loss: 2.2462089967589626e-08, reward: -0.010000000000001426, eps: 0.8038838789758341 
episode: 8, loss: 2.127032655015514e-08, reward: -0.010000000000001426, eps: 0.7926600102533645 
episode: 9, loss: 2.0640803676480557e-08, reward: -0.010000000000001426, eps: 0.7816032431663223 
episode: 10, loss: 1.9400757579987985e-08, reward: -0.010000000000001426, eps: 0.7707110898954669 
episode: 11, loss: 1.828873228460144e-08, reward: -0.010000000000001426, eps: 0.7599810996603606 
episode: 12, loss: 1.740734904845524e-08, reward: -0.010000000000001426, eps: 0.7494108581679332 
episode: 13, loss: 1.671501444169696e-08, reward: -0.010000000000001426, eps: 0.7389979870692552 
episode: 14, loss: 1.597720352526715e-08, reward: -0.010000000000001426, eps: 0.7287401434244 
episode: 15, loss: 1.5226223294427688e-08, reward: -0.010000000000001426, eps: 0.7186350191752715 
episode: 16, loss: 1.4650229617249152e-08, reward: -0.010000000000001426, eps: 0.7086803406262827 
episode: 17, loss: 1.4033663101111475e-08, reward: -0.010000000000001426, eps: 0.6988738679327633 
episode: 18, loss: 1.337610171579622e-08, reward: -0.010000000000001426, eps: 0.689213394596986 
episode: 19, loss: 1.2620691676394214e-08, reward: -0.010000000000001426, eps: 0.6796967469716948 
episode: 20, loss: 1.1989088370125329e-08, reward: -0.010000000000001426, eps: 0.6703217837710251 
episode: 21, loss: 1.1559212990978755e-08, reward: -0.010000000000001426, eps: 0.6610863955887063 
episode: 22, loss: 1.1234906522642942e-08, reward: -0.010000000000001426, eps: 0.6519885044234349 
episode: 23, loss: 1.0586516325062319e-08, reward: -0.010000000000001426, eps: 0.6430260632113168 
