HYPERPARAMETERS: 

neurons: 64 
folder: 2 
lr: 0.01 
eps_decay: 100000 
mom: 0.8 
gamma: 0.9 
exp_replay: 20000 
batch_size: 256 
episodes: 1000 

TRAINING: 

optimal load angle: 81.0 
episode: 0, loss: 0.024509822716497754, reward: 0.08119388061194167, eps: 0.838589849238333 
episode: 1, loss: 0.08212054863947592, reward: -0.010000000000001426, eps: 0.781609096015679 
episode: 2, loss: 0.0832626185475001, reward: 0.055845415458457406, eps: 0.7287455733672671 
episode: 3, loss: 0.06628429029250879, reward: -0.010000000000001426, eps: 0.6797017845658209 
episode: 4, loss: 0.04277239824254943, reward: 0.014944505549446412, eps: 0.634201728960406 
episode: 5, loss: 0.031349340167741234, reward: 0.027311725452813285, eps: 0.6007804924579832 
episode: 6, loss: 0.024061673605593664, reward: 0.018847440185232024, eps: 0.5931993336243093 
episode: 7, loss: 0.027086336635888206, reward: 0.014842219804134615, eps: 0.5819430046492173 
episode: 8, loss: 0.03678393891177503, reward: -0.010000000000001426, eps: 0.5435066576613504 
episode: 9, loss: 0.04463988456708135, reward: 0.015742530755711467, eps: 0.5334879293754294 
episode: 10, loss: 0.05167934451706619, reward: 0.023793103448275104, eps: 0.5268377801407114 
episode: 11, loss: 0.07277594933103974, reward: 0.02261973802619924, eps: 0.49238314456091153 
episode: 12, loss: 0.08129999722351228, reward: 0.02332666733326603, eps: 0.46041808082792823 
episode: 13, loss: 0.1296440895881058, reward: 0.05852152355195015, eps: 0.4525488071407992 
episode: 14, loss: 0.14677647825292742, reward: 0.018499041358530966, eps: 0.44794601265350104 
episode: 15, loss: 0.14588550220890373, reward: 0.010927924039706605, eps: 0.4395477105074327 
episode: 16, loss: 0.13717932770552344, reward: 0.0026893239748801475, eps: 0.42836386918188385 
episode: 17, loss: 0.1364156177653523, reward: 0.0031352154531948465, eps: 0.4176113807056071 
episode: 18, loss: 0.11375065105598922, reward: -0.010000000000001426, eps: 0.3910490639498728 
episode: 19, loss: 0.09772904829460097, reward: 0.013810968494749028, eps: 0.3850186994377386 
episode: 20, loss: 0.07219729823903123, reward: 0.02513099930442774, eps: 0.37900282899071064 
episode: 21, loss: 0.050917272703083036, reward: 0.009361142427659088, eps: 0.36985134771903005 
episode: 22, loss: 0.03807326887779356, reward: 0.019077640381106525, eps: 0.36216639079521845 
episode: 23, loss: 0.04819807598388172, reward: 0.020208691910498754, eps: 0.3555356144773786 
episode: 24, loss: 0.06055802181688346, reward: 0.016879157427937372, eps: 0.35217198725135335 
episode: 25, loss: 0.09631225953351473, reward: 0.03170882911709303, eps: 0.3303380929233976 
episode: 26, loss: 0.15940099370463492, reward: 0.12138786121388107, eps: 0.31008183967945074 
episode: 27, loss: 0.2660151666721074, reward: 0.046352364763527366, eps: 0.29128923267495743 
episode: 28, loss: 0.3098666352847435, reward: 0.11886311368863565, eps: 0.27385451393540633 
episode: 29, loss: 0.3421157866540569, reward: 0.09300969903010081, eps: 0.2576795671888175 
episode: 30, loss: 0.3296485057973903, reward: 0.09613452655889418, eps: 0.24868613120944055 
episode: 31, loss: 0.36088184414591107, reward: 0.17815183673469634, eps: 0.24161465488478512 
episode: 32, loss: 0.36003214848967124, reward: 0.04205934850513188, eps: 0.23785611977636745 
episode: 33, loss: 0.33109154808076624, reward: 0.01802712700369883, eps: 0.23646552127716858 
episode: 34, loss: 0.3173306867104762, reward: 0.01169816723940408, eps: 0.23462677400235693 
episode: 35, loss: 0.31242261110070857, reward: 0.06871425452957916, eps: 0.23082620009412347 
episode: 36, loss: 0.3131165134452031, reward: 0.113813618638141, eps: 0.2177603292948666 
episode: 37, loss: 0.3336660428731254, reward: 0.21389461053894937, eps: 0.20563855276764564 
episode: 38, loss: 0.36738122665021505, reward: 0.09765523447655697, eps: 0.19439265355178603 
episode: 39, loss: 0.3254473332532034, reward: 0.013146551724137923, eps: 0.191665174815163 
episode: 40, loss: 0.32919705552236916, reward: 0.013657199800697326, eps: 0.18953791402840198 
episode: 41, loss: 0.3039156918304704, reward: 0.028275172482755753, eps: 0.17945539083572354 
episode: 42, loss: 0.20642207953406566, reward: 0.044635536446361104, eps: 0.17010139561795953 
episode: 43, loss: 0.16829523521581652, reward: 0.08079634173544777, eps: 0.16258250712242608 
episode: 44, loss: 0.2155247860165166, reward: 0.07915991471215578, eps: 0.1601448534976294 
episode: 45, loss: 0.2233106027493333, reward: 0.1379502049795063, eps: 0.1521861703850384 
episode: 46, loss: 0.2595037712361139, reward: 0.08485740236149028, eps: 0.14916214607541356 
episode: 47, loss: 0.2737176664587962, reward: 0.0036730809896383114, eps: 0.14697724365490886 
episode: 48, loss: 0.2711406006648354, reward: 0.0066223082506649145, eps: 0.14540741964478654 
episode: 49, loss: 0.2640884139365183, reward: 0.11214285714285804, eps: 0.14342008355585695 
episode: 50, loss: 0.2729231772523102, reward: 0.019599298772851277, eps: 0.1420366023432686 
episode: 51, loss: 0.2656789852778696, reward: 0.0947837706511186, eps: 0.14056214946977935 
episode: 52, loss: 0.2618943646296901, reward: 0.013467422096316914, eps: 0.13963504309450697 
episode: 53, loss: 0.2607728086291819, reward: 0.008749619714024505, eps: 0.13893327322429216 
episode: 54, loss: 0.2520669528422625, reward: 0.009137101623571637, eps: 0.13820259192488016 
episode: 55, loss: 0.23993257789785027, reward: 0.01713675213675185, eps: 0.1375216638419671 
episode: 56, loss: 0.22332621088776833, reward: 0.01343711843711819, eps: 0.1368459925552999 
episode: 57, loss: 0.21553539721326243, reward: 0.009727912932137942, eps: 0.1363066238995803 
episode: 58, loss: 0.2038878302664739, reward: 0.009271419637272849, eps: 0.13570715829551 
episode: 59, loss: 0.19559480925895031, reward: 0.0063125605424598176, eps: 0.13519786284010737 
episode: 60, loss: 0.19177815668680348, reward: 0.008752849234776329, eps: 0.13471361643526902 
episode: 61, loss: 0.19466834338394157, reward: 0.007971014492753014, eps: 0.13426160878593418 
