HYPERPARAMETERS: 

episodes: 1000 
folder: 6 
gamma: 0.9 
lr: 0.01 
eps_decay: 500000 
exp_replay: 20000 
batch_size: 256 
neurons: 64 
mom: 0.8 

TRAINING: 

optimal load angle: 81.0 
episode: 0, loss: 0.006497043327080524, reward: 0.05826917308269185, eps: 0.8873468233545754 
episode: 1, loss: 0.03998544730384634, reward: -0.0006079392060791917, eps: 0.8748803532752888 
episode: 2, loss: 0.048753253462603424, reward: 0.014439556044398965, eps: 0.8625994847554792 
episode: 3, loss: 0.05671954754745215, reward: 0.16178382161783972, eps: 0.8505014545479195 
episode: 4, loss: 0.18209183376860433, reward: 0.20135267275097896, eps: 0.8447029122138662 
episode: 5, loss: 0.23160272198778167, reward: 0.05483784388280124, eps: 0.8415779429717138 
episode: 6, loss: 0.3302554015240666, reward: 0.0872937918974073, eps: 0.8347038217736851 
episode: 7, loss: 0.34441100058588214, reward: 0.05924951779765167, eps: 0.8296946350343773 
episode: 8, loss: 0.3443719576877941, reward: 0.20567956349206565, eps: 0.8210678324188823 
episode: 9, loss: 0.3044196490439376, reward: 0.030698930106993465, eps: 0.8095881279596944 
episode: 10, loss: 0.269960212731061, reward: 0.0013108689131075071, eps: 0.7982793340338339 
episode: 11, loss: 0.12081336451783954, reward: -0.010000000000001426, eps: 0.7871389061149581 
episode: 12, loss: 0.011282147422905313, reward: -0.010000000000001426, eps: 0.7761643375597862 
episode: 13, loss: 0.0039922408510871124, reward: -0.008586141385862833, eps: 0.7653531590440942 
episode: 14, loss: 0.0006754901863149096, reward: -0.0014158584141596075, eps: 0.7547029380071058 
episode: 15, loss: 0.004871838789278494, reward: -0.010000000000001426, eps: 0.7442112781041568 
episode: 16, loss: 0.004770916931757381, reward: -0.010000000000001426, eps: 0.7338758186675071 
episode: 17, loss: 0.0032251275508412883, reward: -0.010000000000001426, eps: 0.7236942341751802 
episode: 18, loss: 2.8226408301371727e-06, reward: -0.010000000000001426, eps: 0.7136642337277116 
episode: 19, loss: 7.929473581266814e-07, reward: -0.010000000000001426, eps: 0.7037835605326864 
episode: 20, loss: 0.036886540278433015, reward: 0.23399160083991757, eps: 0.694049991396951 
episode: 21, loss: 0.23030843862937983, reward: -0.010000000000001426, eps: 0.6844613362263862 
episode: 22, loss: 0.2592680312943397, reward: 0.07044687642499002, eps: 0.6793077146054491 
episode: 23, loss: 0.27196310421055164, reward: 0.08011280398476525, eps: 0.6738876783260337 
episode: 24, loss: 0.24368814026131322, reward: 0.02083757338551802, eps: 0.670640711125192 
episode: 25, loss: 0.18452011284833036, reward: 0.03340452580727238, eps: 0.6688657391017335 
episode: 26, loss: 0.1894104030784512, reward: 0.2261143885611365, eps: 0.6596520286003916 
episode: 27, loss: 0.33021722106996293, reward: 0.2554014598540135, eps: 0.6505754923774737 
episode: 28, loss: 0.35532637182874366, reward: 0.04844126428497873, eps: 0.6419749675726679 
episode: 29, loss: 0.34284023787425605, reward: 0.05857561235356793, eps: 0.6404909735956108 
episode: 30, loss: 0.32435401965070654, reward: 0.02718518518518457, eps: 0.6381878381287135 
episode: 31, loss: 0.30063710048749226, reward: 0.08514256619144671, eps: 0.6365115432493162 
