HYPERPARAMETERS: 

neurons: 128 
lr: 0.01 
eps_decay: 500000 
episodes: 1000 
folder: 7 
mom: 0.8 
batch_size: 256 
exp_replay: 20000 
gamma: 0.9 

TRAINING: 

optimal load angle: 81.0 
episode: 0, loss: 1.597779481979918e-05, reward: -0.010000000000001426, eps: 0.8873468233545754 
episode: 1, loss: 2.8851150857110646e-05, reward: -0.009495050494951928, eps: 0.8748803532752888 
episode: 2, loss: 0.00014985327620387724, reward: -0.010000000000001426, eps: 0.8625994847554792 
episode: 3, loss: 0.00012108190903809708, reward: -0.010000000000001426, eps: 0.8505014545479195 
episode: 4, loss: 7.422521634698903e-05, reward: -0.010000000000001426, eps: 0.8385835405447739 
episode: 5, loss: 2.951499423804344e-07, reward: -0.010000000000001426, eps: 0.8268430611651126 
episode: 6, loss: 1.6676730923731368e-06, reward: -0.009899010098991527, eps: 0.8152773747515448 
episode: 7, loss: 2.730641210840607e-05, reward: -0.010000000000001426, eps: 0.8038838789758341 
episode: 8, loss: 2.808257061041369e-05, reward: -0.009899010098991474, eps: 0.7926600102533645 
episode: 9, loss: 0.0002557979900715615, reward: 0.001007899210078136, eps: 0.7816032431663223 
episode: 10, loss: 0.0040901826472452855, reward: 0.002219778022198494, eps: 0.7707110898954669 
episode: 11, loss: 0.0058521122676217325, reward: -0.010000000000001426, eps: 0.7599810996603606 
episode: 12, loss: 0.005038535280479678, reward: -0.010000000000001426, eps: 0.7494108581679332 
episode: 13, loss: 0.001004059348800685, reward: -0.010000000000001426, eps: 0.7389979870692552 
episode: 14, loss: 5.605230355813312e-06, reward: -0.010000000000001426, eps: 0.7287401434244 
episode: 15, loss: 4.621820094513586e-06, reward: -0.010000000000001426, eps: 0.7186350191752715 
episode: 16, loss: 3.858778135129016e-06, reward: -0.010000000000001426, eps: 0.7086803406262827 
episode: 17, loss: 3.453677320965381e-06, reward: -0.010000000000001426, eps: 0.6988738679327633 
episode: 18, loss: 3.12470496781357e-06, reward: -0.010000000000001426, eps: 0.689213394596986 
episode: 19, loss: 2.8760338749691615e-06, reward: -0.010000000000001426, eps: 0.6796967469716948 
episode: 20, loss: 2.676368891846614e-06, reward: -0.010000000000001426, eps: 0.6703217837710251 
episode: 21, loss: 2.4841112164911263e-06, reward: -0.010000000000001426, eps: 0.6610863955887063 
episode: 22, loss: 2.314711960562764e-06, reward: -0.010000000000001426, eps: 0.6519885044234349 
episode: 23, loss: 2.1429785093879084e-06, reward: -0.010000000000001426, eps: 0.6430260632113168 
episode: 24, loss: 1.976232692804849e-06, reward: -0.010000000000001426, eps: 0.6341970553652687 
episode: 25, loss: 1.8249801093951884e-06, reward: -0.010000000000001426, eps: 0.6254994943212777 
episode: 26, loss: 1.710617901662903e-06, reward: -0.010000000000001426, eps: 0.6169314230914156 
episode: 27, loss: 1.6067469287071611e-06, reward: -0.010000000000001426, eps: 0.608490913823509 
episode: 28, loss: 1.4873005633704977e-06, reward: -0.010000000000001426, eps: 0.6001760673673638 
episode: 29, loss: 1.373271781513552e-06, reward: -0.010000000000001426, eps: 0.591985012847449 
episode: 30, loss: 1.2811811239334427e-06, reward: -0.010000000000001426, eps: 0.5839159072419413 
episode: 31, loss: 1.215887808987504e-06, reward: -0.010000000000001426, eps: 0.5759669349680377 
episode: 32, loss: 1.1484847324818304e-06, reward: -0.010000000000001426, eps: 0.5681363074734416 
episode: 33, loss: 1.0780540591123676e-06, reward: -0.010000000000001426, eps: 0.5604222628339309 
episode: 34, loss: 1.0135992168784594e-06, reward: -0.010000000000001426, eps: 0.5528230653569179 
episode: 35, loss: 9.628876338388502e-07, reward: -0.010000000000001426, eps: 0.5453370051909109 
episode: 36, loss: 9.0416586156123e-07, reward: -0.010000000000001426, eps: 0.5379623979407906 
episode: 37, loss: 8.560607985951138e-07, reward: -0.010000000000001426, eps: 0.5306975842888138 
episode: 38, loss: 8.040943476182715e-07, reward: -0.010000000000001426, eps: 0.52354092962126 
episode: 39, loss: 7.58277677590641e-07, reward: -0.010000000000001426, eps: 0.5164908236606368 
episode: 40, loss: 7.206381054310132e-07, reward: -0.010000000000001426, eps: 0.5095456801033602 
episode: 41, loss: 6.883117517537959e-07, reward: -0.010000000000001426, eps: 0.5027039362628297 
episode: 42, loss: 6.543993812376693e-07, reward: -0.010000000000001426, eps: 0.49596405271781746 
episode: 43, loss: 6.215316352742079e-07, reward: -0.010000000000001426, eps: 0.4893245129660916 
episode: 44, loss: 5.899794960182797e-07, reward: -0.010000000000001426, eps: 0.4827838230831974 
episode: 45, loss: 5.594699724165308e-07, reward: -0.010000000000001426, eps: 0.4763405113863172 
episode: 46, loss: 5.354278035665988e-07, reward: -0.010000000000001426, eps: 0.4699931281031366 
episode: 47, loss: 5.116055884673547e-07, reward: -0.010000000000001426, eps: 0.4637402450456385 
episode: 48, loss: 4.895237643118268e-07, reward: -0.010000000000001426, eps: 0.45758045528875535 
episode: 49, loss: 4.635223282773791e-07, reward: -0.010000000000001426, eps: 0.45151237285380513 
episode: 50, loss: 4.419520132100894e-07, reward: -0.010000000000001426, eps: 0.44553463239664015 
episode: 51, loss: 4.2466433947045974e-07, reward: -0.010000000000001426, eps: 0.4396458889004385 
episode: 52, loss: 4.0811396635363383e-07, reward: -0.010000000000001426, eps: 0.43384481737307046 
episode: 53, loss: 3.90380024117506e-07, reward: -0.010000000000001426, eps: 0.42813011254896877 
episode: 54, loss: 3.7458941742317176e-07, reward: -0.010000000000001426, eps: 0.422500488595439 
episode: 55, loss: 3.6160590109780703e-07, reward: -0.010000000000001426, eps: 0.4169546788233415 
episode: 56, loss: 3.4432516766623075e-07, reward: -0.010000000000001426, eps: 0.4114914354020808 
episode: 57, loss: 3.2651683912245927e-07, reward: -0.010000000000001426, eps: 0.406109529078839 
episode: 58, loss: 3.0616423817526695e-07, reward: -0.010000000000001426, eps: 0.4008077489019884 
episode: 59, loss: 2.932538269099539e-07, reward: -0.010000000000001426, eps: 0.39558490194862195 
episode: 60, loss: 2.850616928095403e-07, reward: -0.010000000000001426, eps: 0.3904398130561412 
episode: 61, loss: 2.771522255073151e-07, reward: -0.010000000000001426, eps: 0.3853713245578393 
episode: 62, loss: 2.656322574745622e-07, reward: -0.010000000000001426, eps: 0.38037829602242135 
episode: 63, loss: 2.571081734781651e-07, reward: -0.010000000000001426, eps: 0.37545960399740225 
episode: 64, loss: 2.4671915588617665e-07, reward: -0.010000000000001426, eps: 0.3706141417563256 
episode: 65, loss: 2.3767391227560974e-07, reward: -0.010000000000001426, eps: 0.36584081904974525 
episode: 66, loss: 2.2923433783507242e-07, reward: -0.010000000000001426, eps: 0.36113856185991444 
episode: 67, loss: 2.206319894255823e-07, reward: -0.010000000000001426, eps: 0.35650631215912787 
episode: 68, loss: 2.1155061310910455e-07, reward: -0.010000000000001426, eps: 0.3519430276716602 
episode: 69, loss: 2.0336519844388486e-07, reward: -0.010000000000001426, eps: 0.3474476816392504 
episode: 70, loss: 1.9485428057205708e-07, reward: -0.010000000000001426, eps: 0.3430192625900763 
episode: 71, loss: 1.8975237383322768e-07, reward: -0.010000000000001426, eps: 0.3386567741111692 
episode: 72, loss: 1.848504051382771e-07, reward: -0.010000000000001426, eps: 0.334359234624217 
episode: 73, loss: 1.797995704450615e-07, reward: -0.010000000000001426, eps: 0.33012567716470476 
episode: 74, loss: 1.728612037370794e-07, reward: -0.010000000000001426, eps: 0.3259551491643437 
