HYPERPARAMETERS: 

eps_decay: 100000 
episodes: 1000 
mom: 0.8 
exp_replay: 20000 
folder: 8 
batch_size: 256 
lr: 0.001 
neurons: 64 
gamma: 0.9 

TRAINING: 

optimal load angle: 81.0 
episode: 0, loss: 0.0002920565949460081, reward: -0.010000000000001426, eps: 0.838589849238333 
episode: 1, loss: 8.490673836662512e-06, reward: -0.010098990100991377, eps: 0.781609096015679 
episode: 2, loss: 6.746819734414226e-07, reward: -0.010000000000001426, eps: 0.7287455733672671 
episode: 3, loss: 1.9199529689625108e-07, reward: -0.010098990100991377, eps: 0.6797017845658209 
episode: 4, loss: 1.5682429163780525e-07, reward: -0.010000000000001426, eps: 0.634201728960406 
episode: 5, loss: 1.6447239933485053e-07, reward: -0.009899010098991474, eps: 0.5919893487448954 
episode: 6, loss: 1.582026576154164e-07, reward: -0.010000000000001426, eps: 0.5528270879575311 
episode: 7, loss: 1.426607722253196e-07, reward: -0.010000000000001426, eps: 0.5164945556021538 
episode: 8, loss: 1.2159349150266903e-07, reward: -0.010000000000001426, eps: 0.48278728536763116 
episode: 9, loss: 1.1208712603221135e-07, reward: -0.010000000000001426, eps: 0.45151558496563643 
episode: 10, loss: 1.0435294583821549e-07, reward: -0.010000000000001426, eps: 0.4225034686112678 
episode: 11, loss: 9.559117875716992e-08, reward: -0.010000000000001426, eps: 0.3955876666388963 
episode: 12, loss: 9.138458169388599e-08, reward: -0.010000000000001426, eps: 0.37061670667971935 
episode: 13, loss: 8.749037194263388e-08, reward: -0.010000000000001426, eps: 0.34745006123022193 
episode: 14, loss: 8.632586235354172e-08, reward: -0.010000000000001426, eps: 0.3259573568143676 
episode: 15, loss: 8.303125530039355e-08, reward: -0.010000000000001426, eps: 0.3060176402889739 
episode: 16, loss: 7.901174649820126e-08, reward: -0.010000000000001426, eps: 0.28751869816330194 
episode: 17, loss: 7.501509827568494e-08, reward: -0.010000000000001426, eps: 0.270356425102241 
episode: 18, loss: 7.441525329998572e-08, reward: -0.010000000000001426, eps: 0.25443423805924975 
episode: 19, loss: 7.506139995683557e-08, reward: -0.010000000000001426, eps: 0.23966253274200972 
episode: 20, loss: 6.927050206614787e-08, reward: -0.010000000000001426, eps: 0.22595817935197537 
episode: 21, loss: 6.404021098131291e-08, reward: -0.010000000000001426, eps: 0.2132440547600264 
episode: 22, loss: 6.363412268115109e-08, reward: -0.010000000000001426, eps: 0.20144860848547608 
