HYPERPARAMETERS: 

lr: 0.001 
exp_replay: 20000 
episodes: 1800 
eps_decay: 100000 
batch_size: 256 
folder: 1 
neurons: 128 
mom: 0.8 
gamma: 0.9 

TRAINING: 

episode: 0, loss: 0.00810537212841379, reward: 0.17573562255717043, eps: 0.8612825167409981 
episode: 1, loss: 0.027084863091461873, reward: 0.17099853824066596, eps: 0.850563896096563 
episode: 2, loss: 0.03263976423869695, reward: 0.18389739518729392, eps: 0.8384084944296106 
episode: 3, loss: 0.06377174639255319, reward: 0.16751791104849917, eps: 0.8191887203567859 
episode: 4, loss: 0.08005307456817352, reward: 0.18035856963613223, eps: 0.807858239849779 
episode: 5, loss: 0.0761538268697673, reward: 0.17000885517240932, eps: 0.7993876073681745 
episode: 6, loss: 0.08014184994235314, reward: 0.15886049144118997, eps: 0.7910338823981287 
episode: 7, loss: 0.08083247321669958, reward: 0.15588712268069346, eps: 0.78285388925337 
episode: 8, loss: 0.08553390063200578, reward: 0.16457114680191476, eps: 0.7752136850909013 
episode: 9, loss: 0.09032863512817108, reward: 0.16140885608855748, eps: 0.7678397462396997 
episode: 10, loss: 0.09424163503183736, reward: 0.15536966906474456, eps: 0.7608819266983744 
episode: 11, loss: 0.09863564658954091, reward: 0.15935338909719915, eps: 0.7540478689290945 
episode: 12, loss: 0.10262862112431928, reward: 0.15182672028596567, eps: 0.7480469397902046 
episode: 13, loss: 0.10451625470810262, reward: 0.15559693585337547, eps: 0.7411634586005537 
episode: 14, loss: 0.10621185075920983, reward: 0.16024220907297546, eps: 0.73395788868985 
episode: 15, loss: 0.10784100594382598, reward: 0.16644197751660886, eps: 0.7243615217198476 
episode: 16, loss: 0.11065396423118262, reward: 0.1485879086337169, eps: 0.7092193615744268 
episode: 17, loss: 0.11666525777322906, reward: 0.1575253142857092, eps: 0.7026665459638204 
episode: 18, loss: 0.11704438237299006, reward: 0.1555671916790464, eps: 0.697051797647602 
episode: 19, loss: 0.1197127822799212, reward: 0.17874553167420584, eps: 0.6903893491874687 
episode: 20, loss: 0.11851868880181589, reward: 0.17701999431171678, eps: 0.6839222732248255 
episode: 21, loss: 0.11757457287593076, reward: 0.2008847283028625, eps: 0.6752217266633466 
episode: 22, loss: 0.1160846981955202, reward: 0.1919796882984205, eps: 0.6664494656427551 
episode: 23, loss: 0.11314534443894714, reward: 0.17812516648168497, eps: 0.659687389443505 
episode: 24, loss: 0.10939840940168234, reward: 0.19654941207910304, eps: 0.652167923729902 
episode: 25, loss: 0.10871142742829286, reward: 0.1610049460431626, eps: 0.6471607555864126 
episode: 26, loss: 0.1064205652667708, reward: 0.19169103429651246, eps: 0.6400258499911855 
episode: 27, loss: 0.1046184611775461, reward: 0.17308658263305265, eps: 0.6337520667712664 
episode: 28, loss: 0.10055385062480725, reward: 0.14378187940005635, eps: 0.6292976082964045 
episode: 29, loss: 0.09832602425009412, reward: 0.16629782919165673, eps: 0.623533500785146 
episode: 30, loss: 0.0951225021513984, reward: 0.15764319787985676, eps: 0.6184232783104473 
episode: 31, loss: 0.09256095237331534, reward: 0.15974046429620684, eps: 0.6133191545443545 
episode: 32, loss: 0.09249955957824961, reward: 0.14862588892153666, eps: 0.6082608629607456 
episode: 33, loss: 0.08909005075062561, reward: 0.19167368421052455, eps: 0.6011606621412368 
episode: 34, loss: 0.08821972018652185, reward: 0.1607963352358037, eps: 0.5966158931674034 
episode: 35, loss: 0.08609447534740015, reward: 0.20068490335208963, eps: 0.588014950863283 
episode: 36, loss: 0.08424933164621191, reward: 0.2277769075085915, eps: 0.5750462476555639 
episode: 37, loss: 0.0858724952234967, reward: 0.16995036603220676, eps: 0.5702691893644644 
episode: 38, loss: 0.08641313790672774, reward: 0.15391567666870637, eps: 0.5663043150462709 
episode: 39, loss: 0.08678573315953336, reward: 0.14628549736597146, eps: 0.5625695194314451 
episode: 40, loss: 0.0886840263201646, reward: 0.14945272898368708, eps: 0.5590602350271477 
episode: 41, loss: 0.09194729463096156, reward: 0.14653506452627962, eps: 0.5556305930886402 
episode: 42, loss: 0.0954809524930536, reward: 0.14689387432901432, eps: 0.552274282259653 
episode: 43, loss: 0.10054274888702901, reward: 0.1511453206505023, eps: 0.5484814362467694 
episode: 44, loss: 0.10284150412611609, reward: 0.1457154138915291, eps: 0.5452419096153817 
episode: 45, loss: 0.10572758343923523, reward: 0.1394538363982218, eps: 0.5420185157804905 
episode: 46, loss: 0.10697469958582692, reward: 0.14660711152881908, eps: 0.5386303873017222 
episode: 47, loss: 0.108986366225131, reward: 0.14525555907506849, eps: 0.5354354627709011 
episode: 48, loss: 0.1114947283239456, reward: 0.145440861244016, eps: 0.5323675375363449 
episode: 49, loss: 0.11434865190644314, reward: 0.1490431768042835, eps: 0.5291368948012363 
episode: 50, loss: 0.11877579604876465, reward: 0.14753608181527417, eps: 0.5261373435509291 
episode: 51, loss: 0.12424993163707904, reward: 0.14638567750241085, eps: 0.5232606763540761 
episode: 52, loss: 0.12824950728858456, reward: 0.14721104333868068, eps: 0.5203637584403056 
episode: 53, loss: 0.13236531214035213, reward: 0.1466651627457267, eps: 0.5175406746225883 
episode: 54, loss: 0.13566385797194896, reward: 0.14765954838709378, eps: 0.514748476962281 
episode: 55, loss: 0.13919665915724797, reward: 0.14687285805626216, eps: 0.51184362025403 
episode: 56, loss: 0.14399138010371992, reward: 0.14512806504064701, eps: 0.5092002316568177 
episode: 57, loss: 0.14824354648114316, reward: 0.14653604725414757, eps: 0.5063118007783163 
episode: 58, loss: 0.1529015728113418, reward: 0.14664565708750088, eps: 0.5036002708314047 
episode: 59, loss: 0.1559838219230583, reward: 0.14663962324393082, eps: 0.5007470644555306 
episode: 60, loss: 0.15851304079671458, reward: 0.15110874439461472, eps: 0.4979565985495447 
episode: 61, loss: 0.16005977108983527, reward: 0.1447278546156291, eps: 0.4952412853471065 
episode: 62, loss: 0.16314354566938047, reward: 0.14614747669559358, eps: 0.4925335804027062 
episode: 63, loss: 0.16384478349794523, reward: 0.1516924276169233, eps: 0.4897016151519202 
episode: 64, loss: 0.167599423324562, reward: 0.1515765527950272, eps: 0.48655149877805776 
episode: 65, loss: 0.16595697017355712, reward: 0.12741574515857418, eps: 0.48193985304327974 
episode: 66, loss: 0.17284842537682685, reward: 0.14537189897697883, eps: 0.47924006285165843 
episode: 67, loss: 0.17754389535173976, reward: 0.1416772874756623, eps: 0.47675340881145173 
episode: 68, loss: 0.17950702889453837, reward: 0.13814560615779098, eps: 0.47412844661490805 
episode: 69, loss: 0.1800257761673044, reward: 0.15218875464683837, eps: 0.47105621390527264 
episode: 70, loss: 0.18187470597161937, reward: 0.15036846081208724, eps: 0.46821947288659593 
episode: 71, loss: 0.1850922871964193, reward: 0.1497705647636593, eps: 0.4650655043093826 
episode: 72, loss: 0.18736785072688908, reward: 0.1446667635658879, eps: 0.46260319718674636 
episode: 73, loss: 0.18853265254112628, reward: 0.14192984790874233, eps: 0.4599094778067438 
episode: 74, loss: 0.18752788394622025, reward: 0.14058391065069337, eps: 0.4575062823958308 
episode: 75, loss: 0.189601477355417, reward: 0.14386718146717806, eps: 0.455040211359125 
episode: 76, loss: 0.19037382883405932, reward: 0.14176570408825173, eps: 0.45269375079966306 
episode: 77, loss: 0.19188715320875216, reward: 0.14352280589365524, eps: 0.45020077132010183 
episode: 78, loss: 0.1910224882461126, reward: 0.14364865125240522, eps: 0.44775504440347397 
episode: 79, loss: 0.1894831016007691, reward: 0.14281290218789938, eps: 0.44534798410261145 
episode: 80, loss: 0.18821696449571151, reward: 0.14775143224975437, eps: 0.4429594199779656 
episode: 81, loss: 0.18868632773950803, reward: 0.1493841956726181, eps: 0.44026513812576495 
episode: 82, loss: 0.1898190110599921, reward: 0.14741898148147417, eps: 0.43739170915206066 
episode: 83, loss: 0.1909750853185548, reward: 0.14071215775749352, eps: 0.43520141351725633 
episode: 84, loss: 0.19091682386592151, reward: 0.1428769756097538, eps: 0.43299669101061766 
episode: 85, loss: 0.19000083144457897, reward: 0.1441683181225524, eps: 0.43083124461451056 
episode: 86, loss: 0.1903572808896552, reward: 0.14039413871702694, eps: 0.428666681385961 
episode: 87, loss: 0.18926121688470607, reward: 0.1427935934959314, eps: 0.4264993607955644 
episode: 88, loss: 0.18915418059002934, reward: 0.14263213820077866, eps: 0.42437065001788105 
episode: 89, loss: 0.1884977421079418, reward: 0.14338745588706808, eps: 0.422071615111134 
episode: 90, loss: 0.18777642219906254, reward: 0.14187729960577872, eps: 0.42005674157342837 
episode: 91, loss: 0.18909847778215838, reward: 0.1433662590879016, eps: 0.4181190346116113 
episode: 92, loss: 0.18973980998490042, reward: 0.14328230869849232, eps: 0.4160743114293289 
episode: 93, loss: 0.18966174650681364, reward: 0.14405363073917044, eps: 0.4139936234483871 
episode: 94, loss: 0.19031715148000983, reward: 0.1444564526803411, eps: 0.41210214824166524 
episode: 95, loss: 0.19169217482465373, reward: 0.14366736944534197, eps: 0.4100008344932815 
episode: 96, loss: 0.19120649822085664, reward: 0.14454165571615982, eps: 0.40805132766310903 
episode: 97, loss: 0.19137533408138313, reward: 0.13891563113145583, eps: 0.4060625257232904 
episode: 98, loss: 0.18916402583157546, reward: 0.14124773026315515, eps: 0.404148511611515 
episode: 99, loss: 0.18961466908512634, reward: 0.144305069422018, eps: 0.40204406396573666 
episode: 100, loss: 0.18951430619008056, reward: 0.1399461513157869, eps: 0.4001516510951925 
episode: 101, loss: 0.18996178382326515, reward: 0.1398337349397554, eps: 0.39816146410529957 
episode: 102, loss: 0.18851328329837902, reward: 0.1415934296977629, eps: 0.3962760708304992 
episode: 103, loss: 0.19267594285377312, reward: 0.1404692307692276, eps: 0.39431824120105935 
episode: 104, loss: 0.19182221762540455, reward: 0.1449037407287947, eps: 0.39225851710530885 
episode: 105, loss: 0.18913540138086313, reward: 0.1408235507246349, eps: 0.39043232346263984 
episode: 106, loss: 0.19185866838608023, reward: 0.14436422976501007, eps: 0.3885210746952112 
episode: 107, loss: 0.19340181616486096, reward: 0.14073695081966922, eps: 0.3866676862016565 
episode: 108, loss: 0.19422401906517797, reward: 0.14058432571612162, eps: 0.38463364937960437 
episode: 109, loss: 0.19660296580199377, reward: 0.13660394300861228, eps: 0.3829080579098562 
episode: 110, loss: 0.19788704582753816, reward: 0.14187288467820755, eps: 0.38104898305353846 
episode: 111, loss: 0.19771241837380177, reward: 0.13725530179445158, eps: 0.37918712217222 
episode: 112, loss: 0.1976496106069221, reward: 0.14120664721141038, eps: 0.3772735447481767 
episode: 113, loss: 0.19647815561626233, reward: 0.14100955810146995, eps: 0.375465462322999 
episode: 114, loss: 0.1978734712142621, reward: 0.14281649616367875, eps: 0.37343117801998726 
episode: 115, loss: 0.19912194129897326, reward: 0.13994419512194972, eps: 0.3715800010187965 
episode: 116, loss: 0.20214509245215806, reward: 0.14247405209363415, eps: 0.3698737380970245 
episode: 117, loss: 0.20145695732614424, reward: 0.13930862977601863, eps: 0.3681669832384162 
episode: 118, loss: 0.1994198419272101, reward: 0.14494730445620876, eps: 0.3659223164937783 
episode: 119, loss: 0.20213297291606583, reward: 0.14428986674930175, eps: 0.3636370261177705 
episode: 120, loss: 0.2061128210086022, reward: 0.14133746958637788, eps: 0.3611783901447884 
episode: 121, loss: 0.20945933171960174, reward: 0.13602544262294883, eps: 0.3594747016868202 
episode: 122, loss: 0.20819570265139103, reward: 0.138935791190862, eps: 0.3577341772619643 
episode: 123, loss: 0.2057414703408103, reward: 0.1353757345658606, eps: 0.35611362283457976 
episode: 124, loss: 0.20599406099829234, reward: 0.13946888157894521, eps: 0.3544681090509489 
episode: 125, loss: 0.2074078043119084, reward: 0.13667857377587556, eps: 0.3528223559197349 
episode: 126, loss: 0.2063729785645366, reward: 0.14362131201043998, eps: 0.35112225632691546 
episode: 127, loss: 0.204613428092175, reward: 0.14012057761732624, eps: 0.34948260911762535 
episode: 128, loss: 0.20531230627415414, reward: 0.13725427521709782, eps: 0.34800979332864745 
episode: 129, loss: 0.2044909658630293, reward: 0.13759774236387548, eps: 0.3464908474965764 
episode: 130, loss: 0.20756240461284894, reward: 0.13539309671116728, eps: 0.344805657021351 
episode: 131, loss: 0.20542430576341186, reward: 0.13574428056374682, eps: 0.34318867667980874 
episode: 132, loss: 0.20448605741317927, reward: 0.14112149224166212, eps: 0.3416447200992303 
episode: 133, loss: 0.20486606742668592, reward: 0.1352820284109651, eps: 0.34011469636161046 
episode: 134, loss: 0.2026771686147149, reward: 0.13206839514276006, eps: 0.33853498665145565 
episode: 135, loss: 0.2034922538875172, reward: 0.13789605220228135, eps: 0.3369122298026566 
episode: 136, loss: 0.2023498226300274, reward: 0.13260365131578647, eps: 0.335369933107525 
episode: 137, loss: 0.2029308923689872, reward: 0.1378130218687846, eps: 0.3338983778015781 
episode: 138, loss: 0.2010143178559716, reward: 0.13826795831976252, eps: 0.33228476022706366 
episode: 139, loss: 0.20034079282698594, reward: 0.133916077913501, eps: 0.3307982246006365 
episode: 140, loss: 0.2013239914491331, reward: 0.13598056007814888, eps: 0.3292022276329303 
episode: 141, loss: 0.19874768845618102, reward: 0.13925428199283393, eps: 0.32761530197016037 
episode: 142, loss: 0.19860844472370046, reward: 0.14026743817374707, eps: 0.3258083800690292 
episode: 143, loss: 0.19750466582578705, reward: 0.12470201443175555, eps: 0.3235423212787572 
episode: 144, loss: 0.20011767577263104, reward: 0.13931776163750154, eps: 0.32210182408156746 
episode: 145, loss: 0.19904142197989919, reward: 0.13851168407310513, eps: 0.3205741951225975 
episode: 146, loss: 0.19541984947936702, reward: 0.13741335087142176, eps: 0.3191170323493271 
episode: 147, loss: 0.19575384194606552, reward: 0.13974885019710603, eps: 0.31765968713672715 
episode: 148, loss: 0.1980886206951154, reward: 0.1322999342969748, eps: 0.31621023386262764 
episode: 149, loss: 0.19673826093356023, reward: 0.14024315720380426, eps: 0.3147606868501895 
episode: 150, loss: 0.19756653915657657, reward: 0.14443355361970303, eps: 0.31257751915020726 
episode: 151, loss: 0.192248326838113, reward: 0.1370083845904799, eps: 0.3110380936838652 
episode: 152, loss: 0.1898592173022894, reward: 0.1371239756722135, eps: 0.30941688167926723 
episode: 153, loss: 0.1888017251392967, reward: 0.14080973818645998, eps: 0.3077851147946048 
episode: 154, loss: 0.18428390649636248, reward: 0.13167774056028925, eps: 0.30577453902208435 
episode: 155, loss: 0.18673521492047176, reward: 0.1356856908971804, eps: 0.30436400952994125 
episode: 156, loss: 0.18403025464907283, reward: 0.1393314762354408, eps: 0.30265030766382656 
episode: 157, loss: 0.18469136793066218, reward: 0.13480203252031991, eps: 0.3008954577756133 
episode: 158, loss: 0.18294395871584426, reward: 0.1440934341906095, eps: 0.29888634574812084 
episode: 159, loss: 0.1837377484378843, reward: 0.1362729225023331, eps: 0.29712056859264585 
episode: 160, loss: 0.18052794304311098, reward: 0.13693121102723774, eps: 0.29577496712301815 
episode: 161, loss: 0.1805605073038622, reward: 0.13544262241209012, eps: 0.2944464702798593 
episode: 162, loss: 0.1794578109721073, reward: 0.14356308139534768, eps: 0.29299633222062726 
episode: 163, loss: 0.17743368477840735, reward: 0.1440508617886147, eps: 0.291605528698424 
episode: 164, loss: 0.17696050221707016, reward: 0.14399389048991584, eps: 0.28927567748476646 
episode: 165, loss: 0.17679451312961364, reward: 0.13757902327105706, eps: 0.28796327367742003 
episode: 166, loss: 0.17427871586744395, reward: 0.1392961781322673, eps: 0.2867574855420889 
episode: 167, loss: 0.1741321757237381, reward: 0.14018282290279335, eps: 0.28556958546308825 
episode: 168, loss: 0.17665197041803946, reward: 0.1370007348029368, eps: 0.2844110854557081 
episode: 169, loss: 0.1806989674053734, reward: 0.14267961359093664, eps: 0.28323962288164095 
episode: 170, loss: 0.1807812987730592, reward: 0.14049317121918425, eps: 0.28207401465767756 
episode: 171, loss: 0.18291194826204074, reward: 0.14343021534320027, eps: 0.28098351618851125 
episode: 172, loss: 0.18718906915215736, reward: 0.1406473085924405, eps: 0.2798544653926789 
episode: 173, loss: 0.19230771698829088, reward: 0.14366837007347721, eps: 0.2787240715885283 
episode: 174, loss: 0.19451875750016545, reward: 0.14389220996321966, eps: 0.27760606499085283 
episode: 175, loss: 0.1967211650834961, reward: 0.14310750921890414, eps: 0.2765116434323886 
episode: 176, loss: 0.19974229304954924, reward: 0.14221074656846047, eps: 0.2754134675741814 
episode: 177, loss: 0.20391986413587884, reward: 0.14498734516236722, eps: 0.2743206159023924 
episode: 178, loss: 0.20540672861322573, reward: 0.14561585609593283, eps: 0.2731995801561073 
episode: 179, loss: 0.209487479458216, reward: 0.14380120522262815, eps: 0.2721174618739069 
episode: 180, loss: 0.21541762349000546, reward: 0.1446394851220292, eps: 0.2710317484808684 
episode: 181, loss: 0.2176697487521908, reward: 0.142729890401856, eps: 0.2699073562010487 
episode: 182, loss: 0.22008057265518757, reward: 0.14433756194251376, eps: 0.2687536803349114 
episode: 183, loss: 0.2234529285693864, reward: 0.14197653369091215, eps: 0.26770182460443465 
episode: 184, loss: 0.22844803575975645, reward: 0.14418558981232926, eps: 0.2666528600801862 
episode: 185, loss: 0.22940523660238363, reward: 0.14455066401062, eps: 0.26554858778379836 
episode: 186, loss: 0.2320992161790688, reward: 0.142062715803449, eps: 0.2644499439259372 
episode: 187, loss: 0.23737054562438661, reward: 0.14621860541969217, eps: 0.26332703194346724 
episode: 188, loss: 0.24016460549040125, reward: 0.1422158900435771, eps: 0.2623012697223617 
episode: 189, loss: 0.24337595935948317, reward: 0.14293558528427774, eps: 0.2612656506656643 
episode: 190, loss: 0.24679129491524474, reward: 0.14472222592468867, eps: 0.26021195883709786 
episode: 191, loss: 0.24528670928450333, reward: 0.14392387959865902, eps: 0.25918653157139154 
episode: 192, loss: 0.24873959019580144, reward: 0.14339546979865492, eps: 0.2581869240564201 
episode: 193, loss: 0.2516891779185455, reward: 0.14460366911273898, eps: 0.25715480199171825 
episode: 194, loss: 0.2514951144337017, reward: 0.14099676018703788, eps: 0.2561360421243759 
episode: 195, loss: 0.25121567964791935, reward: 0.14284444074566943, eps: 0.2551017811794104 
episode: 196, loss: 0.2517913875124771, reward: 0.14530400788435982, eps: 0.2539910967448796 
