HYPERPARAMETERS: 

batch_size: 256 
lr: 0.01 
mom: 0.8 
exp_replay: 20000 
gamma: 0.9 
eps_decay: 500000 
episodes: 1800 
folder: 11 
neurons: 256 

TRAINING: 

episode: 0, loss: 0.005021815378483835, reward: 0.14077526483598055, eps: 0.8878125176393747 
episode: 1, loss: 0.05314424650350811, reward: 0.0688722827717498, eps: 0.8753391142754495 
episode: 2, loss: 0.03979790336532548, reward: 0.16869739232661646, eps: 0.864099300610597 
episode: 3, loss: 0.04351047339122163, reward: 0.07043283671634085, eps: 0.851978941054002 
episode: 4, loss: 0.026885477010149136, reward: 0.1394162483751521, eps: 0.8400390301425181 
episode: 5, loss: 0.03245855240742378, reward: 0.3275349921892171, eps: 0.8298958222022448 
episode: 6, loss: 0.0478550152833203, reward: 0.32453029697024993, eps: 0.8182846860979787 
episode: 7, loss: 0.05961797602048196, reward: 0.2537046378504395, eps: 0.809030794840049 
episode: 8, loss: 0.05458338467789621, reward: 0.28107840517241206, eps: 0.8022918518212784 
episode: 9, loss: 0.05615370313554747, reward: 0.22248124176547265, eps: 0.7969381243333948 
episode: 10, loss: 0.0625499576649176, reward: 0.3148085367445385, eps: 0.7892693617667986 
episode: 11, loss: 0.0670890896846844, reward: 0.196391542119568, eps: 0.7842784743306911 
episode: 12, loss: 0.0680544164682703, reward: 0.1792001384083149, eps: 0.7794788313270931 
episode: 13, loss: 0.07365180347487724, reward: 0.26763548095741024, eps: 0.7734607898317161 
episode: 14, loss: 0.07541197927396343, reward: 0.1689985855988242, eps: 0.7692150072189159 
episode: 15, loss: 0.07695624610540201, reward: 0.20528703624732667, eps: 0.7660731664250824 
episode: 16, loss: 0.07763222299070888, reward: 0.15394354595679924, eps: 0.763955295820914 
episode: 17, loss: 0.08048807340504428, reward: 0.23462657894735617, eps: 0.7604811023348121 
episode: 18, loss: 0.0799888785861385, reward: 0.2430034088708049, eps: 0.7567085523850136 
episode: 19, loss: 0.07645702613139597, reward: 0.30153925197855036, eps: 0.7492108552642756 
episode: 20, loss: 0.06778284090428094, reward: 0.3344870661672793, eps: 0.741549235432179 
episode: 21, loss: 0.05443837205129004, reward: 0.2693186018050928, eps: 0.7359895192063795 
episode: 22, loss: 0.04596170179228207, reward: 0.31396254411970576, eps: 0.7297318277872281 
episode: 23, loss: 0.0375006717110384, reward: 0.3303657234277195, eps: 0.7196119392814113 
episode: 24, loss: 0.051239341476189235, reward: 0.20646339366062658, eps: 0.7096427162868792 
episode: 25, loss: 0.07226590858730492, reward: 0.14459382061792186, eps: 0.6998219156864004 
episode: 26, loss: 0.07968843715344168, reward: 0.15569483856297286, eps: 0.6973611623391482 
episode: 27, loss: 0.08099144692867022, reward: 0.16678827652887654, eps: 0.6952464581586792 
episode: 28, loss: 0.08229225748970259, reward: 0.15952963054797034, eps: 0.693272448737663 
episode: 29, loss: 0.08853244193516294, reward: 0.25085687403995505, eps: 0.6897991823162533 
episode: 30, loss: 0.08835526084538013, reward: 0.25170342730791784, eps: 0.6860660114132124 
episode: 31, loss: 0.08752950921458995, reward: 0.19974050892672424, eps: 0.6830556604533398 
episode: 32, loss: 0.08530449386253999, reward: 0.23930902821323133, eps: 0.6761627676256644 
episode: 33, loss: 0.07622110816310086, reward: 0.2789005687831122, eps: 0.6698591962869167 
episode: 34, loss: 0.06108395670476136, reward: 0.28266060441796276, eps: 0.6638412532262017 
episode: 35, loss: 0.04899579725720427, reward: 0.204691168831168, eps: 0.6607748209852333 
episode: 36, loss: 0.045787056584273275, reward: 0.2218059857221349, eps: 0.6549600056513788 
