HYPERPARAMETERS: 

neurons: 256 
batch_size: 256 
gamma: 0.9 
lr: 0.001 
eps_decay: 100000 
exp_replay: 20000 
mom: 0.8 
folder: 2 
episodes: 1800 

TRAINING: 

episode: 0, loss: 0.004025029025355246, reward: 0.10461743812053184, eps: 0.8613879903238087 
episode: 1, loss: 0.03063301080301937, reward: 0.1707427682737112, eps: 0.8504518249962695 
episode: 2, loss: 0.04064994806666113, reward: 0.18377877854759717, eps: 0.8393551525041719 
episode: 3, loss: 0.07740313518844347, reward: 0.1518087350134559, eps: 0.8269347340549242 
episode: 4, loss: 0.07876490896834494, reward: 0.17779915900130996, eps: 0.8168692745473366 
episode: 5, loss: 0.08425568426843856, reward: 0.1657185113979624, eps: 0.8081766071629717 
episode: 6, loss: 0.08765498981977414, reward: 0.15935013950892457, eps: 0.8000098572802813 
episode: 7, loss: 0.09168678706101048, reward: 0.1651584161226177, eps: 0.7923837921093103 
episode: 8, loss: 0.09759019554938589, reward: 0.1578377714285685, eps: 0.7850042999621493 
episode: 9, loss: 0.10113153700972556, reward: 0.1547940034762417, eps: 0.778047540889652 
episode: 10, loss: 0.10691018579588538, reward: 0.16377993187623743, eps: 0.7706447875251523 
episode: 11, loss: 0.11013691466669996, reward: 0.14893296607712084, eps: 0.763845355171005 
episode: 12, loss: 0.11502890327360069, reward: 0.15135806632939816, eps: 0.7563397467873041 
episode: 13, loss: 0.12124970739489126, reward: 0.1527550272128305, eps: 0.7493814835287619 
episode: 14, loss: 0.12602171109714672, reward: 0.13906626173384926, eps: 0.7415851969274123 
episode: 15, loss: 0.1293573201700831, reward: 0.12350507177033143, eps: 0.7300704185395659 
episode: 16, loss: 0.1350533647369612, reward: 0.11456245767776427, eps: 0.7131467774595837 
episode: 17, loss: 0.13678014567396737, reward: 0.13121080641412983, eps: 0.7013038973465764 
episode: 18, loss: 0.1385261333591241, reward: 0.15589402943626054, eps: 0.6941788142770889 
episode: 19, loss: 0.13994340716762024, reward: 0.15208935236003168, eps: 0.6868577699030849 
episode: 20, loss: 0.1383695715463041, reward: 0.1366471345781974, eps: 0.6732616094361678 
episode: 21, loss: 0.14443460368913896, reward: 0.1420646189735449, eps: 0.664861075925212 
episode: 22, loss: 0.14876832604225707, reward: 0.13566391015823825, eps: 0.6562099325839035 
episode: 23, loss: 0.1505044721409849, reward: 0.14688425113061027, eps: 0.6486315794167301 
episode: 24, loss: 0.14742666497568174, reward: 0.14542378612716603, eps: 0.6429181422889142 
episode: 25, loss: 0.15002711890335368, reward: 0.14541031149300426, eps: 0.6357109154345298 
episode: 26, loss: 0.14956312542015424, reward: 0.17225673740051015, eps: 0.6283252053616409 
