HYPERPARAMETERS: 

gamma: 0.9 
lr: 0.01 
folder: 5 
episodes: 1800 
mom: 0.8 
neurons: 256 
eps_decay: 100000 
batch_size: 256 
exp_replay: 20000 

TRAINING: 

episode: 0, loss: 0.03951242300143279, reward: 0.2602429457054721, eps: 0.838589849238333 
episode: 1, loss: 0.048882847124949634, reward: 0.30153420657937363, eps: 0.781609096015679 
episode: 2, loss: 0.048026114683927625, reward: 0.30297657170924225, eps: 0.755690213051592 
episode: 3, loss: 0.04942064434461112, reward: 0.22844535707447028, eps: 0.736740402398607 
episode: 4, loss: 0.04924241928505597, reward: 0.17946284537081417, eps: 0.7256710529065226 
episode: 5, loss: 0.05659789879442763, reward: 0.1682929581084492, eps: 0.716344197088723 
episode: 6, loss: 0.06468064890423526, reward: 0.1403042539266956, eps: 0.702607808617904 
episode: 7, loss: 0.07251450379314907, reward: 0.1738192977893299, eps: 0.6938954379461717 
episode: 8, loss: 0.0710240476823897, reward: 0.16923287205082213, eps: 0.6817326923188335 
episode: 9, loss: 0.0716936130970184, reward: 0.1807652091654454, eps: 0.6676403619567245 
episode: 10, loss: 0.07920849507311505, reward: 0.2501081217326356, eps: 0.6502560711890987 
episode: 11, loss: 0.08310765026909245, reward: 0.24029772061898694, eps: 0.6367192050896037 
episode: 12, loss: 0.08288216431994992, reward: 0.23572516946126926, eps: 0.6187814978030749 
episode: 13, loss: 0.08482553782431702, reward: 0.23722253968250254, eps: 0.5993063769353033 
episode: 14, loss: 0.08583628288430409, reward: 0.16715961538460583, eps: 0.5874664553936466 
episode: 15, loss: 0.08646555153976583, reward: 0.1749117157490223, eps: 0.575850183268393 
episode: 16, loss: 0.08454620536653493, reward: 0.17937286510589548, eps: 0.5655201286200665 
episode: 17, loss: 0.08319296241708546, reward: 0.18489342165370518, eps: 0.5559340624762056 
episode: 18, loss: 0.08514198555650282, reward: 0.1626519136139835, eps: 0.5501141385567131 
episode: 19, loss: 0.08807146612239715, reward: 0.18634499502484655, eps: 0.5376492266200631 
episode: 20, loss: 0.09385046863864208, reward: 0.18710217038537208, eps: 0.5259469266994179 
episode: 21, loss: 0.09647130887847923, reward: 0.1750269259723775, eps: 0.5189360238707386 
episode: 22, loss: 0.09899871937259458, reward: 0.19305785313082072, eps: 0.5082460878285536 
episode: 23, loss: 0.10026279335720933, reward: 0.1939958738890975, eps: 0.4981627059859535 
episode: 24, loss: 0.09879871630328614, reward: 0.18190117449663637, eps: 0.49073612902523644 
episode: 25, loss: 0.09796889837134223, reward: 0.20611806156805976, eps: 0.48349330389155903 
episode: 26, loss: 0.09082723768957429, reward: 0.21590651822587661, eps: 0.47039567430870505 
episode: 27, loss: 0.08885652232478405, reward: 0.14856659310344422, eps: 0.46569688360263417 
episode: 28, loss: 0.09010661865057568, reward: 0.14725655441971988, eps: 0.46228149217420605 
episode: 29, loss: 0.09235120773204226, reward: 0.14945456716417624, eps: 0.45879603899037175 
episode: 30, loss: 0.08933362084561423, reward: 0.16005940220545087, eps: 0.4549511123138803 
episode: 31, loss: 0.08697914582505831, reward: 0.16577020566981251, eps: 0.4505330758475994 
episode: 32, loss: 0.08269618589479427, reward: 0.1403440321583146, eps: 0.4476079022600199 
episode: 33, loss: 0.08135701755056284, reward: 0.1653690909090867, eps: 0.4440100235609528 
episode: 34, loss: 0.08310986361394539, reward: 0.1450749406880178, eps: 0.4405930985658914 
episode: 35, loss: 0.08635808413525559, reward: 0.15816900409276816, eps: 0.4360729531806687 
episode: 36, loss: 0.08935341326732889, reward: 0.15437544596012087, eps: 0.4310445698369821 
episode: 37, loss: 0.0905966095138837, reward: 0.1442773881833197, eps: 0.4267969128081627 
episode: 38, loss: 0.09328041546346591, reward: 0.18159046398358453, eps: 0.42155851040595693 
episode: 39, loss: 0.08993471674092, reward: 0.16670715412940346, eps: 0.4167558432767199 
episode: 40, loss: 0.08926377373625674, reward: 0.1814808279831633, eps: 0.40943607663405246 
episode: 41, loss: 0.08820894140782377, reward: 0.13804132564841734, eps: 0.4059699615004727 
episode: 42, loss: 0.08954408863236858, reward: 0.1469653710247346, eps: 0.4027982449484543 
episode: 43, loss: 0.091561610198496, reward: 0.14168084646277088, eps: 0.4002111819358568 
episode: 44, loss: 0.0931347904267542, reward: 0.1390769440242055, eps: 0.39740677286433457 
episode: 45, loss: 0.0901307524868653, reward: 0.2264221455756341, eps: 0.3915405283714191 
episode: 46, loss: 0.08272369105485751, reward: 0.15787033747779394, eps: 0.3885583140615553 
episode: 47, loss: 0.08163189460073107, reward: 0.1441238349658644, eps: 0.3856323449721205 
episode: 48, loss: 0.08013356382939378, reward: 0.2427338110749229, eps: 0.3786444112802493 
