HYPERPARAMETERS: 

exp_replay: 20000 
folder: 6 
lr: 0.001 
gamma: 0.9 
episodes: 1800 
mom: 0.8 
eps_decay: 500000 
batch_size: 256 
neurons: 64 

TRAINING: 

episode: 0, loss: 0.004896217922531769, reward: 0.10887707229269672, eps: 0.8873468233545754 
episode: 1, loss: 0.004818792386336589, reward: 0.16059298070185615, eps: 0.8748803532752888 
episode: 2, loss: 0.00526920226385353, reward: 0.09143422657725649, eps: 0.8625994847554792 
episode: 3, loss: 0.006912739860135479, reward: 0.26952805719417783, eps: 0.8505014545479195 
episode: 4, loss: 0.014646071007475444, reward: 0.3101682631735986, eps: 0.8385835405447739 
episode: 5, loss: 0.017141294505463166, reward: 0.16959286071383606, eps: 0.8268430611651126 
episode: 6, loss: 0.0195421185793448, reward: 0.338986514386028, eps: 0.8166484479968166 
episode: 7, loss: 0.033273046004727434, reward: 0.1743280987528552, eps: 0.8144620237293652 
episode: 8, loss: 0.042223423169046294, reward: 0.1677755239327235, eps: 0.8123794133008186 
episode: 9, loss: 0.048449648145404006, reward: 0.1563917937927353, eps: 0.8103982806387589 
episode: 10, loss: 0.05550856854283464, reward: 0.16179348691694712, eps: 0.8088562378320613 
episode: 11, loss: 0.06577123724553732, reward: 0.15459248315188706, eps: 0.8067994942660668 
episode: 12, loss: 0.07371240891017403, reward: 0.15138771435282097, eps: 0.8041462762201901 
episode: 13, loss: 0.0751816602751859, reward: 0.13148310567934976, eps: 0.7995404980343953 
episode: 14, loss: 0.08447597189911317, reward: 0.1310252339687562, eps: 0.794655987123617 
episode: 15, loss: 0.09202584973853208, reward: 0.13335673894558783, eps: 0.7913822501828723 
episode: 16, loss: 0.09456824191210503, reward: 0.16312874201610195, eps: 0.7897530020625324 
episode: 17, loss: 0.09341525796671221, reward: 0.1616098687963472, eps: 0.788267591865735 
episode: 18, loss: 0.09674179061292605, reward: 0.16031342618383962, eps: 0.7866613948341595 
episode: 19, loss: 0.10772680290168342, reward: 0.15838979243673199, eps: 0.7851660186965495 
episode: 20, loss: 0.11108672545821059, reward: 0.15935586814435576, eps: 0.7836707433892759 
episode: 21, loss: 0.11828162404616223, reward: 0.15318334277620121, eps: 0.7821624016154307 
episode: 22, loss: 0.12125445432264018, reward: 0.16376730167756143, eps: 0.7806761581501035 
episode: 23, loss: 0.12356464312488934, reward: 0.1549238814317647, eps: 0.7791068919757126 
episode: 24, loss: 0.12591570311814398, reward: 0.16750035931453758, eps: 0.7774798852222485 
episode: 25, loss: 0.12722739156720594, reward: 0.15344524017466787, eps: 0.7761222212495925 
episode: 26, loss: 0.12963926549126123, reward: 0.1527041809851056, eps: 0.7746844722869598 
episode: 27, loss: 0.13121464045414843, reward: 0.161754819448391, eps: 0.7732134085462048 
episode: 28, loss: 0.1315371851167007, reward: 0.15273227126570857, eps: 0.7718839193796061 
episode: 29, loss: 0.1296188705649587, reward: 0.14762339930151058, eps: 0.7705352578419152 
episode: 30, loss: 0.12558868987367333, reward: 0.1559159537572215, eps: 0.7691545956956289 
episode: 31, loss: 0.12427519446850023, reward: 0.15421867301231337, eps: 0.7676158151739357 
episode: 32, loss: 0.12149873103102503, reward: 0.14977871853546537, eps: 0.7661891796748628 
episode: 33, loss: 0.11907819228789468, reward: 0.15836479190100916, eps: 0.7646796136579581 
episode: 34, loss: 0.11659009014962388, reward: 0.13015602207293742, eps: 0.7623008394460832 
episode: 35, loss: 0.11685092273789148, reward: 0.159180461711707, eps: 0.7608051555960051 
episode: 36, loss: 0.11468737874754888, reward: 0.1536012073027038, eps: 0.7595339524337404 
episode: 37, loss: 0.1150345442939679, reward: 0.1666496080627061, eps: 0.7580157572751195 
episode: 38, loss: 0.11301329112061208, reward: 0.1660484005563247, eps: 0.756468312320328 
episode: 39, loss: 0.11212182787362387, reward: 0.16104607300884596, eps: 0.7548946432769785 
episode: 40, loss: 0.11000365167223022, reward: 0.16051555240792895, eps: 0.7534454618203176 
episode: 41, loss: 0.1101639201197258, reward: 0.15583509070294269, eps: 0.752002067714948 
episode: 42, loss: 0.10947797342900148, reward: 0.15255387981329926, eps: 0.7507017616376017 
