HYPERPARAMETERS: 

gamma: 0.9 
eps_decay: 500000 
mom: 0.8 
lr: 0.01 
batch_size: 256 
folder: 9 
exp_replay: 20000 
neurons: 64 
episodes: 1800 

TRAINING: 

episode: 0, loss: 0.0017497278752634231, reward: 0.09411254874512606, eps: 0.8873468233545754 
episode: 1, loss: 0.0031403344069750533, reward: 0.17990351698474832, eps: 0.8776400597996091 
episode: 2, loss: 0.039582125403516806, reward: 0.22698323481998758, eps: 0.8725541772641001 
episode: 3, loss: 0.06723143757775277, reward: 0.26563715697749735, eps: 0.8640634810294067 
episode: 4, loss: 0.08448474264025012, reward: 0.1939526560082556, eps: 0.855552477510991 
episode: 5, loss: 0.09014883991997254, reward: 0.20140257417102567, eps: 0.8522035265980059 
episode: 6, loss: 0.08605390617954015, reward: 0.21931732594935416, eps: 0.848114722369163 
episode: 7, loss: 0.08466425335736509, reward: 0.21055418511489682, eps: 0.8445439875244221 
episode: 8, loss: 0.07802240667638904, reward: 0.2920021543560258, eps: 0.8351496601505651 
episode: 9, loss: 0.06664284546538754, reward: 0.3290380161983607, eps: 0.8234603045896086 
episode: 10, loss: 0.05981066410887324, reward: 0.25683551684085304, eps: 0.8140676630789188 
episode: 11, loss: 0.05146723497838136, reward: 0.39612929707026345, eps: 0.8026921775636531 
episode: 12, loss: 0.041287713313805076, reward: 0.18520609007164068, eps: 0.8005770791152231 
episode: 13, loss: 0.04333285208550362, reward: 0.16505619857377601, eps: 0.7988602241532606 
episode: 14, loss: 0.04937880904031446, reward: 0.19629982976653035, eps: 0.7964512794050228 
episode: 15, loss: 0.055230512903052656, reward: 0.21361721122871097, eps: 0.7937019498167035 
episode: 16, loss: 0.054462802520277874, reward: 0.20613080771979478, eps: 0.7911835863619644 
episode: 17, loss: 0.050403307467054057, reward: 0.1899233211973985, eps: 0.7875709961039434 
episode: 18, loss: 0.057054113526818065, reward: 0.20818816086759467, eps: 0.7847368070836204 
episode: 19, loss: 0.06508474568602896, reward: 0.21996447207499958, eps: 0.7812112089025537 
